order_item_id,order_id,product_id,quantity,unit_price,discount
OI0000051,O000041,P012,1,2250.0,0.1
OI0000052,O000041,P009,1,22000.0,0.0
OI0000053,O000042,P001,1,7650.0,0.1
OI0000054,O000042,P003,3,10800.0,0.1
OI0000055,O000043,P010,3,6500.0,0.0
OI0000056,O000044,P006,2,14250.0,0.05
OI0000057,O000045,P008,1,17100.0,0.05
OI0000058,O000046,P009,1,22000.0,0.0
OI0000059,O000047,P004,3,28000.0,0.0
OI0000060,O000048,P004,2,26600.0,0.05
OI0000061,O000049,P004,3,25200.0,0.1
OI0000062,O000050,P006,3,15000.0,0.0
OI0000063,O000051,P005,2,52000.0,0.0
OI0000064,O000052,P008,3,17100.0,0.05
OI0000065,O000053,P001,2,7650.0,0.1
OI0000066,O000053,P010,3,6500.0,0.0
OI0000067,O000054,P001,1,8500.0,0.0
OI0000068,O000055,P003,3,10200.0,0.15
OI0000069,O000056,P005,1,44200.0,0.15
OI0000070,O000057,P006,3,15000.0,0.0
OI0000071,O000057,P001,3,8500.0,0.0
OI0000072,O000058,P006,1,15000.0,0.0
OI0000073,O000059,P001,3,7225.0,0.15
OI0000074,O000060,P005,3,41600.0,0.2
OI0000075,O000061,P005,3,46800.0,0.1
OI0000076,O000061,P001,3,7650.0,0.1
OI0000077,O000062,P010,1,6175.0,0.05
OI0000078,O000063,P004,2,26600.0,0.05
OI0000079,O000064,P008,2,17100.0,0.05
OI0000080,O000065,P005,3,49400.0,0.05
OI0000081,O000066,P007,3,4500.0,0.0
OI0000082,O000067,P006,2,15000.0,0.0
OI0000083,O000068,P003,3,11400.0,0.05
OI0000084,O000069,P010,3,6500.0,0.0
OI0000085,O000069,P009,2,19800.0,0.1
OI0000086,O000070,P007,1,4050.0,0.1
OI0000087,O000071,P002,3,61750.0,0.05
OI0000088,O000072,P008,2,18000.0,0.0
OI0000089,O000072,P002,1,65000.0,0.0
OI0000090,O000073,P008,2,15300.0,0.15
OI0000091,O000074,P003,3,12000.0,0.0
OI0000092,O000075,P006,-1,15000.0,0.0
OI0000093,O000076,P009,3,22000.0,0.0
OI0000094,O000077,P001,2,8075.0,0.05
OI0000095,O000078,P006,3,15000.0,0.0
OI0000096,O000079,P006,3,15000.0,0.0
OI0000097,O000080,P006,1,14250.0,0.05
OI0000098,O000081,P009,1,18700.0,0.15
OI0000099,O000082,P011,3,21600.0,0.1
OI0000100,O000083,P010,2,5850.0,0.1
OI0000101,O000084,P006,2,15000.0,0.0
OI0000102,O000084,P012,2,2500.0,0.0
OI0000103,O000085,P001,2,8500.0,0.0
OI0000104,O000086,P002,1,61750.0,0.05
OI0000105,O000087,P009,2,22000.0,0.0
OI0000106,O000088,P011,2,24000.0,0.0
OI0000107,O000088,P004,2,23800.0,0.15
OI0000108,O000089,P011,2,21600.0,0.1
OI0000109,O000089,P012,3,2500.0,0.0
OI0000110,O000090,P002,1,65000.0,0.0
OI0000111,O000091,P009,1,19800.0,0.1
OI0000112,O000092,P002,1,61750.0,0.05
OI0000113,O000092,P001,1,7650.0,0.1
OI0000114,O000093,P008,3,16200.0,0.1
OI0000115,O000094,P008,1,18000.0,0.0
OI0000116,O000095,P003,2,10800.0,0.1
OI0000117,O000095,P010,2,5850.0,0.1
OI0000118,O000096,P003,1,12000.0,0.0
OI0000119,O000097,P011,1,19200.0,0.2
OI0000120,O000097,P003,2,10800.0,0.1
OI0000121,O000098,P005,1,52000.0,0.0
OI0000122,O000099,P009,2,19800.0,0.1
OI0000123,O000100,P009,2,19800.0,0.1
OI0000124,O000101,P005,2,52000.0,0.0
OI0000125,O000102,P008,2,18000.0,0.0
OI0000126,O000103,P008,2,16200.0,0.1
OI0000127,O000104,P010,2,6500.0,0.0
OI0000128,O000105,P006,3,12000.0,0.2
OI0000129,O000105,P008,3,18000.0,0.0
OI0000130,O000106,P012,1,2375.0,0.05
OI0000131,O000107,P001,2,7650.0,0.1
OI0000132,O000107,P002,1,65000.0,0.0
OI0000133,O000108,P008,1,17100.0,0.05
OI0000134,O000108,P011,2,24000.0,0.0
OI0000135,O000109,P007,2,3600.0,0.2
OI0000136,O000110,P003,1,11400.0,0.05
OI0000137,O000111,P003,1,12000.0,0.0
OI0000138,O000112,P001,3,8500.0,0.0
OI0000139,O000113,P010,2,6500.0,0.0
OI0000140,O000114,P011,2,24000.0,0.0
OI0000141,O000115,P001,2,8500.0,0.0
OI0000142,O000116,P006,1,15000.0,0.0
OI0000143,O000117,P004,1,28000.0,0.0
OI0000144,O000117,P006,2,15000.0,0.0
OI0000145,O000118,P001,3,8500.0,0.0
OI0000146,O000119,P005,2,49400.0,0.05
OI0000147,O000120,P006,2,12000.0,0.2
OI0000148,O000121,P001,2,7650.0,0.1
OI0000149,O000122,P002,3,61750.0,0.05
OI0000150,O000123,P001,3,8500.0,0.0
OI0000151,O000124,P009,3,20900.0,0.05
OI0000152,O000125,P012,2,2375.0,0.05
OI0000153,O000125,P001,3,7650.0,0.1
OI0000154,O000126,P009,3,22000.0,0.0
OI0000155,O000126,P008,1,17100.0,0.05
OI0000156,O000127,P007,2,4500.0,0.0
OI0000157,O000128,P012,3,2250.0,0.1
OI0000158,O000129,P005,1,52000.0,0.0
OI0000159,O000130,P009,3,18700.0,0.15
OI0000160,O000131,P004,1,28000.0,0.0
OI0000161,O000132,P002,2,65000.0,0.0
OI0000162,O000133,P008,1,17100.0,0.05
OI0000163,O000133,P010,2,5525.0,0.15
OI0000164,O000134,P008,2,15300.0,0.15
OI0000165,O000135,P005,1,52000.0,0.0
OI0000166,O000135,P010,2,6500.0,0.0
OI0000167,O000136,P003,2,12000.0,0.0
OI0000168,O000137,P011,1,22800.0,0.05
OI0000169,O000137,P010,2,6175.0,0.05
OI0000170,O000138,P006,3,15000.0,0.0
OI0000171,O000139,P005,1,52000.0,0.0
OI0000172,O000140,P004,3,28000.0,0.0
OI0000173,O000141,P006,2,14250.0,0.05
OI0000174,O000141,P004,2,28000.0,0.0
OI0000175,O000142,P005,3,46800.0,0.1
OI0000176,O000143,P007,2,4050.0,0.1
OI0000177,O000144,P006,2,15000.0,0.0
OI0000178,O000145,P004,2,26600.0,0.05
OI0000179,O000146,P005,2,52000.0,0.0
OI0000180,O000147,P008,3,17100.0,0.05
OI0000181,O000148,P004,3,25200.0,0.1
OI0000182,O000148,P007,2,4050.0,0.1
OI0000183,O000149,P009,1,20900.0,0.05
OI0000184,O000150,P011,3,21600.0,0.1
OI0000185,O000151,P004,1,23800.0,0.15
OI0000186,O000152,P010,3,6500.0,0.0
OI0000187,O000153,P008,2,18000.0,0.0
OI0000188,O000154,P003,1,12000.0,0.0
OI0000189,O000155,P004,1,28000.0,0.0
OI0000190,O000156,P008,1,18000.0,0.0
OI0000191,O000156,P001,2,8075.0,0.05
OI0000192,O000157,P004,3,26600.0,0.05
OI0000193,O000157,P007,3,4050.0,0.1
OI0000194,O000158,P006,1,15000.0,0.0
OI0000195,O000159,P009,3,17600.0,0.2
OI0000196,O000160,P010,2,5850.0,0.1
OI0000197,O000161,P009,3,19800.0,0.1
OI0000198,O000161,P006,2,12750.0,0.15
OI0000199,O000162,P008,2,18000.0,0.0
OI0000200,O000163,P008,2,16200.0,0.1
OI0000201,O000164,P007,3,4500.0,0.0
OI0000202,O000165,P002,2,61750.0,0.05
OI0000203,O000166,P011,3,21600.0,0.1
OI0000204,O000167,P004,1,25200.0,0.1
OI0000205,O000168,P004,1,28000.0,0.0
OI0000206,O000168,P007,1,4500.0,0.0
OI0000207,O000169,P009,2,19800.0,0.1
OI0000208,O000170,P010,1,6500.0,0.0
OI0000209,O000170,P004,2,28000.0,0.0
OI0000210,O000171,P007,2,4050.0,0.1
OI0000211,O000172,P003,2,10200.0,0.15
OI0000212,O000173,P006,3,13500.0,0.1
OI0000213,O000174,P011,1,21600.0,0.1
OI0000214,O000175,P008,1,16200.0,0.1
OI0000215,O000176,P005,2,49400.0,0.05
OI0000216,O000177,P006,2,14250.0,0.05
OI0000217,O000178,P002,-1,65000.0,0.0
OI0000218,O000179,P004,2,25200.0,0.1
OI0000219,O000180,P006,2,12750.0,0.15
OI0000220,O000181,P006,1,15000.0,0.0
OI0000221,O000182,P003,1,12000.0,0.0
OI0000222,O000182,P007,1,4500.0,0.0
OI0000223,O000183,P001,3,8500.0,0.0
OI0000224,O000184,P003,3,12000.0,0.0
OI0000225,O000185,P009,1,22000.0,0.0
OI0000226,O000185,P008,3,15300.0,0.15
OI0000227,O000186,P010,3,6500.0,0.0
OI0000228,O000187,P012,3,2500.0,0.0
OI0000229,O000188,P007,2,4500.0,0.0
OI0000230,O000189,P011,2,22800.0,0.05
OI0000231,O000190,P001,3,8075.0,0.05
OI0000232,O000190,P003,1,11400.0,0.05
OI0000233,O000191,P005,1,49400.0,0.05
OI0000234,O000192,P007,3,3600.0,0.2
OI0000235,O000193,P011,3,20400.0,0.15
OI0000236,O000194,P006,3,15000.0,0.0
OI0000237,O000195,P007,1,4275.0,0.05
OI0000238,O000196,P005,1,46800.0,0.1
OI0000239,O000196,P011,1,24000.0,0.0
OI0000240,O000197,P001,3,8500.0,0.0
OI0000241,O000197,P010,2,6500.0,0.0
OI0000242,O000198,P011,1,21600.0,0.1
OI0000243,O000199,P003,3,12000.0,0.0
OI0000244,O000200,P009,3,22000.0,0.0
OI0000245,O000200,P004,2,23800.0,0.15
OI0000246,O000201,P010,3,5200.0,0.2
OI0000247,O000202,P006,3,15000.0,0.0
OI0000248,O000203,P003,2,11400.0,0.05
OI0000249,O000203,P008,1,17100.0,0.05
OI0000250,O000204,P002,3,58500.0,0.1
OI0000251,O000205,P007,1,4275.0,0.05
OI0000252,O000206,P003,3,11400.0,0.05
OI0000253,O000207,P004,3,26600.0,0.05
OI0000254,O000208,P007,1,4275.0,0.05
OI0000255,O000209,P004,2,26600.0,0.05
OI0000256,O000210,P006,3,13500.0,0.1
OI0000257,O000210,P004,3,22400.0,0.2
OI0000258,O000211,P001,1,8075.0,0.05
OI0000259,O000212,P003,1,10200.0,0.15
OI0000260,O000213,P002,1,65000.0,0.0
OI0000261,O000214,P006,1,12750.0,0.15
OI0000262,O000215,P002,2,65000.0,0.0
OI0000263,O000216,P004,3,25200.0,0.1
OI0000264,O000217,P011,2,20400.0,0.15
OI0000265,O000218,P010,1,6500.0,0.0
OI0000266,O000219,P001,3,8075.0,0.05
OI0000267,O000220,P007,3,3600.0,0.2
OI0000268,O000220,P004,2,28000.0,0.0
OI0000269,O000221,P004,2,26600.0,0.05
OI0000270,O000222,P007,3,4275.0,0.05
OI0000271,O000223,P010,2,6500.0,0.0
OI0000272,O000224,P002,3,61750.0,0.05
OI0000273,O000224,P001,3,8075.0,0.05
OI0000274,O000225,P002,1,52000.0,0.2
OI0000275,O000226,P006,1,13500.0,0.1
OI0000276,O000227,P001,1,7225.0,0.15
OI0000277,O000228,P010,2,5850.0,0.1
OI0000278,O000229,P012,2,2500.0,0.0
OI0000279,O000230,P009,1,22000.0,0.0
OI0000280,O000231,P001,1,8500.0,0.0
OI0000281,O000232,P005,1,46800.0,0.1
OI0000282,O000233,P005,2,52000.0,0.0
OI0000283,O000234,P001,1,8500.0,0.0
OI0000284,O000235,P001,2,8500.0,0.0
OI0000285,O000236,P005,2,46800.0,0.1
OI0000286,O000237,P004,3,23800.0,0.15
OI0000287,O000237,P001,1,8500.0,0.0
OI0000288,O000238,P006,3,15000.0,0.0
OI0000289,O000239,P003,3,11400.0,0.05
OI0000290,O000240,P001,3,8075.0,0.05
OI0000291,O000241,P001,2,8075.0,0.05
OI0000292,O000241,P006,1,13500.0,0.1
OI0000293,O000242,P009,1,19800.0,0.1
OI0000294,O000243,P001,1,7225.0,0.15
OI0000295,O000244,P001,3,8500.0,0.0
OI0000296,O000245,P001,3,7225.0,0.15
OI0000297,O000246,P004,2,28000.0,0.0
OI0000298,O000247,P011,1,21600.0,0.1
OI0000299,O000248,P009,2,20900.0,0.05
OI0000300,O000248,P004,1,28000.0,0.0
OI0000301,O000249,P001,2,8500.0,0.0
OI0000302,O000250,P012,3,2500.0,0.0
OI0000303,O000251,P002,1,61750.0,0.05
OI0000304,O000252,P010,2,5850.0,0.1
OI0000305,O000252,P008,3,15300.0,0.15
OI0000306,O000253,P002,1,55250.0,0.15
OI0000307,O000254,P002,1,65000.0,0.0
OI0000308,O000255,P003,3,11400.0,0.05
OI0000309,O000256,P001,3,8500.0,0.0
OI0000310,O000257,P005,2,52000.0,0.0
OI0000311,O000258,P003,2,10800.0,0.1
OI0000312,O000259,P004,2,28000.0,0.0
OI0000313,O000260,P004,1,25200.0,0.1
OI0000314,O000261,P005,3,41600.0,0.2
OI0000315,O000262,P006,1,15000.0,0.0
OI0000316,O000263,P001,2,8500.0,0.0
OI0000317,O000264,P011,3,22800.0,0.05
OI0000318,O000265,P008,1,18000.0,0.0
OI0000319,O000266,P012,3,2500.0,0.0
OI0000320,O000267,P003,3,10800.0,0.1
OI0000321,O000267,P008,1,18000.0,0.0
OI0000322,O000268,P007,3,4275.0,0.05
OI0000323,O000269,P003,3,10800.0,0.1
OI0000324,O000269,P008,1,18000.0,0.0
OI0000325,O000270,P008,1,16200.0,0.1
OI0000326,O000271,P004,3,25200.0,0.1
OI0000327,O000272,P008,1,17100.0,0.05
OI0000328,O000272,P006,2,15000.0,0.0
OI0000329,O000273,P007,2,4500.0,0.0
OI0000330,O000274,P002,2,58500.0,0.1
OI0000331,O000274,P008,1,16200.0,0.1
OI0000332,O000275,P005,3,44200.0,0.15
OI0000333,O000275,P007,3,4050.0,0.1
OI0000334,O000276,P007,2,4500.0,0.0
OI0000335,O000277,P006,2,15000.0,0.0
OI0000336,O000278,P011,1,24000.0,0.0
OI0000337,O000279,P008,1,18000.0,0.0
OI0000338,O000280,P010,2,6500.0,0.0
OI0000339,O000281,P001,1,7650.0,0.1
OI0000340,O000282,P012,3,2500.0,0.0
OI0000341,O000283,P009,3,19800.0,0.1
OI0000342,O000284,P001,3,8500.0,0.0
OI0000343,O000285,P005,1,49400.0,0.05
OI0000344,O000285,P006,1,15000.0,0.0
OI0000345,O000286,P004,1,28000.0,0.0
OI0000346,O000287,P007,1,3825.0,0.15
OI0000347,O000287,P008,3,17100.0,0.05
OI0000348,O000288,P004,2,28000.0,0.0
OI0000349,O000289,P005,2,52000.0,0.0
OI0000350,O000289,P002,3,61750.0,0.05
OI0000351,O000290,P004,2,26600.0,0.05
OI0000352,O000291,P011,1,21600.0,0.1
OI0000353,O000292,P003,1,10800.0,0.1
OI0000354,O000293,P002,2,65000.0,0.0
OI0000355,O000294,P008,2,18000.0,0.0
OI0000356,O000295,P004,3,28000.0,0.0
OI0000357,O000296,P003,3,10800.0,0.1
OI0000358,O000297,P007,1,4275.0,0.05
OI0000359,O000298,P003,3,12000.0,0.0
OI0000360,O000299,P012,1,2000.0,0.2
OI0000361,O000300,P007,3,4275.0,0.05
OI0000362,O000301,P003,3,9600.0,0.2
OI0000363,O000302,P003,1,10800.0,0.1
OI0000364,O000303,P004,2,28000.0,0.0
OI0000365,O000303,P006,1,15000.0,0.0
OI0000366,O000304,P005,2,49400.0,0.05
OI0000367,O000305,P006,1,14250.0,0.05
OI0000368,O000306,P006,1,15000.0,0.0
OI0000369,O000306,P002,2,65000.0,0.0
OI0000370,O000307,P001,3,8075.0,0.05
OI0000371,O000308,P008,2,18000.0,0.0
OI0000372,O000309,P012,3,2375.0,0.05
OI0000373,O000310,P007,1,4500.0,0.0
OI0000374,O000310,P002,3,58500.0,0.1
OI0000375,O000311,P007,1,4500.0,0.0
OI0000376,O000312,P002,2,65000.0,0.0
OI0000377,O000312,P005,3,49400.0,0.05
OI0000378,O000313,P008,3,16200.0,0.1
OI0000379,O000314,P010,3,6500.0,0.0
OI0000380,O000314,P004,3,28000.0,0.0
OI0000381,O000315,P005,3,49400.0,0.05
OI0000382,O000316,P012,2,2500.0,0.0
OI0000383,O000317,P001,3,6800.0,0.2
OI0000384,O000318,P003,1,11400.0,0.05
OI0000385,O000319,P006,2,13500.0,0.1
OI0000386,O000320,P008,3,15300.0,0.15
OI0000387,O000321,P008,3,16200.0,0.1
OI0000388,O000322,P009,2,19800.0,0.1
OI0000389,O000323,P002,3,58500.0,0.1
OI0000390,O000324,P012,1,2375.0,0.05
OI0000391,O000325,P009,2,20900.0,0.05
OI0000392,O000326,P004,3,28000.0,0.0
OI0000393,O000327,P004,3,28000.0,0.0
OI0000394,O000328,P003,2,11400.0,0.05
OI0000395,O000328,P008,3,17100.0,0.05
OI0000396,O000329,P011,1,22800.0,0.05
OI0000397,O000329,P004,2,26600.0,0.05
OI0000398,O000330,P011,1,22800.0,0.05
OI0000399,O000331,P012,1,2500.0,0.0
OI0000400,O000332,P006,3,15000.0,0.0
OI0000401,O000332,P005,1,52000.0,0.0
OI0000402,O000333,P003,1,9600.0,0.2
OI0000403,O000333,P006,3,13500.0,0.1
OI0000404,O000334,P011,3,22800.0,0.05
OI0000405,O000334,P009,1,22000.0,0.0
OI0000406,O000335,P003,1,12000.0,0.0
OI0000407,O000336,P006,2,15000.0,0.0
OI0000408,O000337,P003,2,11400.0,0.05
OI0000409,O000338,P008,3,18000.0,0.0
OI0000410,O000339,P010,3,5850.0,0.95
OI0000411,O000339,P012,2,2500.0,0.0
OI0000412,O000340,P002,2,61750.0,0.05
OI0000413,O000341,P002,3,65000.0,0.0
OI0000414,O000341,P006,3,15000.0,0.0
OI0000415,O000342,P003,2,11400.0,0.05
OI0000416,O000343,P002,2,58500.0,0.1
OI0000417,O000344,P005,3,46800.0,0.1
OI0000418,O000345,P002,1,61750.0,0.05
OI0000419,O000346,P010,1,6500.0,0.0
OI0000420,O000347,P003,3,10800.0,0.1
OI0000421,O000348,P006,2,15000.0,0.0
OI0000422,O000349,P002,3,58500.0,0.1
OI0000423,O000349,P011,1,24000.0,0.0
OI0000424,O000350,P008,2,18000.0,0.0
OI0000425,O000351,P009,3,20900.0,0.05
OI0000426,O000351,P012,1,2500.0,0.0
OI0000427,O000352,P002,1,58500.0,0.1
OI0000428,O000353,P002,1,61750.0,0.05
OI0000429,O000354,P009,1,22000.0,0.0
OI0000430,O000355,P007,2,4500.0,0.0
OI0000431,O000356,P011,2,24000.0,0.0
OI0000432,O000357,P011,1,22800.0,0.05
OI0000433,O000358,P010,3,6500.0,0.0
OI0000434,O000358,P009,1,19800.0,0.1
OI0000435,O000359,P010,1,6175.0,0.05
OI0000436,O000359,P011,2,22800.0,0.05
OI0000437,O000360,P002,3,65000.0,0.0
OI0000438,O000361,P004,1,25200.0,0.1
OI0000439,O000362,P006,1,14250.0,0.05
OI0000440,O000363,P006,3,15000.0,0.0
OI0000441,O000364,P009,1,18700.0,0.15
OI0000442,O000365,P006,1,12750.0,0.15
OI0000443,O000366,P007,3,4500.0,0.0
OI0000444,O000367,P007,2,4500.0,0.0
OI0000445,O000368,P012,3,2125.0,0.15
OI0000446,O000369,P005,1,49400.0,0.05
OI0000447,O000370,P006,3,14250.0,0.05
OI0000448,O000371,P005,2,49400.0,0.05
OI0000449,O000372,P004,2,28000.0,0.0
OI0000450,O000373,P012,1,2500.0,0.0
OI0000451,O000374,P012,2,2500.0,0.0
OI0000452,O000375,P004,2,26600.0,0.05
OI0000453,O000376,P007,1,4500.0,0.0
OI0000454,O000376,P008,1,15300.0,0.15
OI0000455,O000377,P010,2,6500.0,0.0
OI0000456,O000377,P001,3,8075.0,0.05
OI0000457,O000378,P005,2,46800.0,0.1
OI0000458,O000379,P002,2,65000.0,0.0
OI0000459,O000379,P008,1,18000.0,0.0
OI0000460,O000380,P006,1,12000.0,0.2
OI0000461,O000381,P006,3,14250.0,0.05
OI0000462,O000381,P001,3,7650.0,0.1
OI0000463,O000382,P008,3,16200.0,0.1
OI0000464,O000383,P004,1,22400.0,0.2
OI0000465,O000384,P001,1,8075.0,0.05
OI0000466,O000385,P002,3,65000.0,0.0
OI0000467,O000386,P006,1,14250.0,0.05
OI0000468,O000387,P009,1,18700.0,0.15
OI0000469,O000388,P001,1,8500.0,0.0
OI0000470,O000389,P001,1,7650.0,0.1
OI0000471,O000390,P003,2,10800.0,0.1
OI0000472,O000390,P001,3,8500.0,0.0
OI0000473,O000391,P003,2,10800.0,0.1
OI0000474,O000392,P003,2,11400.0,0.05
OI0000475,O000393,P011,2,21600.0,0.1
OI0000476,O000394,P008,2,18000.0,0.0
OI0000477,O000395,P007,3,4500.0,0.0
OI0000478,O000396,P011,1,21600.0,0.1
OI0000479,O000397,P012,2,2375.0,0.05
OI0000480,O000397,P008,2,16200.0,0.1
OI0000481,O000398,P010,3,6175.0,0.05
OI0000482,O000398,P006,3,15000.0,0.0
OI0000483,O000399,P001,2,7650.0,0.1
OI0000484,O000400,P011,1,24000.0,0.0
OI0000485,O000401,P006,2,15000.0,0.0
OI0000486,O000402,P006,1,15000.0,0.0
OI0000487,O000403,P002,2,65000.0,0.0
OI0000488,O000404,P009,1,20900.0,0.05
OI0000489,O000405,P010,1,5525.0,0.15
OI0000490,O000406,P009,1,18700.0,0.15
OI0000491,O000407,P006,2,13500.0,0.1
OI0000492,O000408,P001,2,6800.0,0.2
OI0000493,O000409,P003,1,11400.0,0.05
OI0000494,O000410,P002,1,55250.0,0.15
OI0000495,O000411,P002,1,65000.0,0.0
OI0000496,O000412,P006,3,13500.0,0.1
OI0000497,O000413,P009,2,20900.0,0.05
OI0000498,O000414,P010,3,6500.0,0.0
OI0000499,O000415,P001,1,7225.0,0.15
OI0000500,O000416,P004,1,28000.0,0.0
OI0000501,O000417,P010,3,5850.0,0.1
OI0000502,O000418,P011,2,20400.0,0.15
OI0000503,O000419,P011,2,22800.0,0.05
OI0000504,O000420,P004,1,22400.0,0.2
OI0000505,O000421,P006,1,15000.0,0.0
OI0000506,O000422,P010,3,6500.0,0.0
OI0000507,O000423,P001,1,8500.0,0.0
OI0000508,O000423,P003,2,12000.0,0.0
OI0000509,O000424,P001,2,8075.0,0.05
OI0000510,O000425,P001,3,8500.0,0.0
OI0000511,O000426,P006,2,12000.0,0.2
OI0000512,O000427,P005,1,46800.0,0.1
OI0000513,O000428,P001,1,8075.0,0.05
OI0000514,O000429,P004,2,26600.0,0.05
OI0000515,O000429,P011,1,24000.0,0.0
OI0000516,O000430,P004,3,26600.0,0.05
OI0000517,O000430,P006,1,15000.0,0.0
OI0000518,O000431,P012,3,2250.0,0.1
OI0000519,O000432,P005,1,44200.0,0.15
OI0000520,O000433,P009,2,20900.0,0.05
OI0000521,O000434,P006,3,12000.0,0.2
OI0000522,O000434,P003,3,10200.0,0.15
OI0000523,O000435,P004,2,26600.0,0.05
OI0000524,O000436,P002,3,65000.0,0.0
OI0000525,O000437,P004,1,25200.0,0.1
OI0000526,O000438,P007,3,4275.0,0.05
OI0000527,O000439,P011,2,19200.0,0.2
OI0000528,O000440,P009,1,18700.0,0.15
OI0000529,O000441,P002,3,65000.0,0.0
OI0000530,O000442,P001,1,8500.0,0.0
OI0000531,O000443,P001,3,7650.0,0.1
OI0000532,O000444,P007,2,4050.0,0.1
OI0000533,O000445,P006,1,14250.0,0.05
OI0000534,O000446,P010,3,5850.0,0.1
OI0000535,O000447,P005,3,49400.0,0.05
OI0000536,O000448,P001,3,8500.0,0.0
OI0000537,O000449,P010,3,5200.0,0.2
OI0000538,O000450,P009,1,19800.0,0.1
OI0000539,O000451,P004,1,28000.0,0.0
OI0000540,O000452,P009,1,19800.0,0.1
OI0000541,O000453,P006,2,13500.0,0.1
OI0000542,O000454,P002,3,55250.0,0.15
OI0000543,O000454,P003,1,10800.0,0.1
OI0000544,O000455,P007,1,4275.0,0.05
OI0000545,O000456,P001,2,7225.0,0.15
OI0000546,O000457,P011,3,21600.0,0.1
OI0000547,O000457,P010,3,5850.0,0.1
OI0000548,O000458,P007,2,4500.0,0.0
OI0000549,O000458,P003,2,9600.0,0.2
OI0000550,O000459,P012,3,2500.0,0.0
OI0000551,O000460,P011,1,22800.0,0.05
OI0000552,O000461,P010,3,6500.0,0.0
OI0000553,O000461,P009,3,22000.0,0.0
OI0000554,O000462,P003,1,12000.0,0.0
OI0000555,O000463,P007,1,4500.0,0.0
OI0000556,O000464,P001,1,7650.0,0.1
OI0000557,O000465,P008,1,18000.0,0.0
OI0000558,O000465,P012,3,2500.0,0.0
OI0000559,O000466,P007,2,4500.0,0.0
OI0000560,O000467,P006,3,14250.0,0.05
OI0000561,O000467,P011,3,24000.0,0.0
OI0000562,O000468,P003,1,10200.0,0.15
OI0000563,O000469,P002,2,61750.0,0.05
OI0000564,O000470,P002,2,55250.0,0.15
OI0000565,O000471,P011,1,21600.0,0.95
OI0000566,O000472,P002,1,58500.0,0.1
OI0000567,O000473,P004,1,23800.0,0.15
OI0000568,O000474,P008,3,18000.0,0.0
OI0000569,O000475,P002,1,58500.0,0.1
OI0000570,O000476,P012,2,2250.0,0.1
OI0000571,O000477,P002,2,65000.0,0.0
OI0000572,O000478,P001,2,8500.0,0.0
OI0000573,O000479,P008,1,14400.0,0.2
OI0000574,O000480,P004,3,28000.0,0.0
OI0000575,O000480,P006,2,14250.0,0.05
OI0000576,O000481,P009,3,20900.0,0.05
OI0000577,O000482,P001,2,8075.0,0.05
OI0000578,O000482,P004,3,28000.0,0.0
OI0000579,O000483,P008,1,18000.0,0.0
OI0000580,O000484,P003,1,12000.0,0.0
OI0000581,O000485,P009,2,20900.0,0.05
