review_id,order_id,review_score,review_date,review_text
R000049,O002700,5.0,2026-01-07,Great value
R000050,O004076,5.0,2026-04-12,Average experience
R000051,O001042,4.0,2026-04-27,Excellent product
R000052,O005866,4.0,2026-01-02,Not as expected
R000053,O006257,3.0,2026-05-20,Fast delivery
R000054,O002419,4.0,2026-04-29,Damaged package
R000055,O006005,3.0,2026-03-08,Excellent product
R000056,O000512,3.0,2026-05-01,Not as expected
R000057,O004989,3.0,2026-03-04,Great value
R000058,O002511,4.0,2026-03-20,Late delivery
R000059,O002119,2.0,2026-04-17,Excellent product
R000060,O005459,5.0,2026-01-21,Good quality
R000061,O000436,5.0,2026-01-13,Average experience
R000062,O005031,5.0,2026-05-06,Late delivery
R000063,O001633,4.0,2026-05-11,Great value
R000064,O000765,5.0,2026-05-14,Excellent product
R000065,O002856,4.0,2026-02-04,Great value
R000066,O004458,4.0,2026-04-06,Average experience
R000067,O000466,5.0,2026-04-05,Late delivery
R000068,O002132,5.0,2026-01-14,Average experience
R000069,O001489,5.0,2026-07-30,Not as expected
R000070,O005081,3.0,2026-03-14,Damaged package
R000071,O001303,5.0,2026-08-23,Average experience
R000072,O001684,1.0,2026-05-22,Good quality
R000073,O003535,4.0,2026-03-03,Good quality
R000074,O002128,1.0,2026-06-07,Great value
R000075,O001653,4.0,2026-06-29,Late delivery
R000076,O006116,4.0,2026-07-12,Not as expected
R000077,O006973,5.0,2026-07-07,Great value
R000078,O001035,4.0,2026-04-08,Excellent product
R000079,O006810,5.0,2026-05-04,Not as expected
R000080,O004509,4.0,2026-02-22,Average experience
R000081,O004190,2.0,2026-03-25,Great value
R000082,O000102,3.0,2026-05-15,Excellent product
R000083,O005595,5.0,2026-08-27,Not as expected
R000084,O001865,5.0,2026-02-23,Excellent product
R000085,O006119,4.0,2026-06-03,Not as expected
R000086,O003681,5.0,2026-08-29,Great value
R000087,O002489,4.0,2026-08-14,Not as expected
R000088,O002510,4.0,2026-01-21,Average experience
R000089,O005172,5.0,2026-02-03,Fast delivery
R000090,O003033,4.0,2026-05-18,Late delivery
R000091,O005861,4.0,2026-06-07,Damaged package
R000092,O000240,5.0,2026-04-12,Not as expected
R000093,O002993,4.0,2026-07-16,Fast delivery
R000094,O006395,4.0,2026-08-20,Excellent product
R000095,O005109,4.0,2026-05-29,Late delivery
R000096,O000737,5.0,2026-06-25,Excellent product
R000097,O004054,3.0,2026-05-31,Late delivery
R000098,O006659,3.0,2026-07-23,Not as expected
R000099,O000080,5.0,2026-06-04,Not as expected
R000100,O005482,4.0,2026-07-26,Good quality
R000101,O005199,5.0,2026-03-08,Great value
R000102,O006913,5.0,,Damaged package
R000103,O006057,4.0,2026-03-26,Good quality
R000104,O001175,4.0,2026-03-05,Excellent product
R000105,O002866,5.0,2026-06-21,Great value
R000106,O001196,1.0,2026-07-03,Good quality
R000107,O004061,5.0,2026-02-09,Damaged package
R000108,O000829,4.0,2026-01-30,Not as expected
R000109,O006498,5.0,2026-04-11,Excellent product
R000110,O002485,5.0,2026-07-19,Excellent product
R000111,O003218,4.0,2026-06-18,Damaged package
R000112,O006339,5.0,2026-05-29,Late delivery
R000113,O003853,3.0,2026-02-24,Good quality
R000114,O000469,4.0,2026-08-10,Fast delivery
R000115,O007001,4.0,2026-05-30,Fast delivery
R000116,O003904,5.0,2026-02-07,Damaged package
R000117,O001704,3.0,2026-08-28,Good quality
R000118,O000473,,2026-06-21,Average experience
R000119,O001512,3.0,2026-04-09,Average experience
R000120,O005827,3.0,2026-02-21,Excellent product
R000121,O002265,4.0,2026-08-16,Late delivery
R000122,O005187,3.0,2026-01-02,Not as expected
R000123,O006373,4.0,2026-06-27,Fast delivery
R000124,O004931,4.0,2026-02-13,Fast delivery
R000125,O005774,4.0,2026-05-28,Not as expected
R000126,O006541,5.0,2026-07-02,Average experience
R000127,O005016,5.0,2026-07-22,Excellent product
R000128,O001129,4.0,2026-05-08,Excellent product
R000129,O000088,5.0,2026-03-22,Damaged package
R000130,O002639,4.0,2026-01-30,Damaged package
R000131,O003405,4.0,2026-02-03,Fast delivery
R000132,O003165,4.0,2026-03-26,Average experience
R000133,O002158,5.0,2026-08-31,Excellent product
R000134,O000178,4.0,2026-06-06,Good quality
R000135,O006727,1.0,2026-06-05,Not as expected
R000136,O005675,4.0,2026-07-11,Average experience
R000137,O004148,4.0,2026-03-16,Not as expected
R000138,O004304,4.0,2026-03-20,Late delivery
R000139,O004399,5.0,2026-05-06,Damaged package
R000140,O000510,5.0,2026-01-10,Great value
R000141,O005200,2.0,2026-03-18,Excellent product
R000142,O003559,2.0,2026-03-01,Average experience
R000143,O002708,3.0,2026-04-05,Great value
R000144,O007088,4.0,2026-07-09,Good quality
R000145,O001650,4.0,2026-08-06,Fast delivery
R000146,O006614,4.0,2026-08-06,Fast delivery
R000147,O001376,5.0,2026-06-03,Fast delivery
R000148,O006931,4.0,2026-05-23,Average experience
R000149,O002759,5.0,2026-05-12,Damaged package
R000150,O006499,5.0,2026-01-05,Damaged package
R000151,O004521,4.0,2026-04-17,Average experience
R000152,O000096,4.0,2026-04-19,Not as expected
R000153,O006850,5.0,2026-03-21,Good quality
R000154,O001860,4.0,2026-07-14,Late delivery
R000155,O005077,5.0,2026-08-22,Great value
R000156,O006645,4.0,2026-05-29,Great value
R000157,O007023,5.0,2026-06-02,Fast delivery
R000158,O003685,4.0,2026-01-23,Average experience
R000159,O000997,3.0,2026-03-20,Not as expected
R000160,O000971,5.0,2026-01-30,Great value
R000161,O000186,3.0,2026-06-22,Late delivery
R000162,O006830,5.0,2026-05-27,Average experience
R000163,O002688,5.0,2026-01-20,Late delivery
R000164,O002760,4.0,2026-07-17,Excellent product
R000165,O000409,5.0,2026-03-31,Late delivery
R000166,O003455,5.0,2026-02-24,Not as expected
R000167,O000545,4.0,2026-03-26,Average experience
R000168,O006886,5.0,2026-02-18,Not as expected
R000169,O005931,4.0,2026-06-27,Fast delivery
R000170,O003807,4.0,2026-01-28,Great value
R000171,O003092,4.0,2026-08-18,Damaged package
R000172,O003144,5.0,2026-01-14,Damaged package
R000173,O003734,4.0,2026-04-17,Excellent product
R000174,O004635,4.0,2026-02-26,Fast delivery
R000175,O002654,5.0,2026-01-19,Late delivery
R000176,O001551,5.0,2026-04-02,Excellent product
R000177,O001488,4.0,2026-04-19,Excellent product
R000178,O005236,5.0,2026-07-20,Good quality
R000179,O001906,4.0,2026-07-25,Late delivery
R000180,O001567,5.0,2026-02-06,Damaged package
R000181,O002182,4.0,2026-05-17,Good quality
R000182,O003837,3.0,2026-02-06,Not as expected
R000183,O000020,2.0,,Good quality
R000184,O003013,5.0,2026-08-03,Fast delivery
R000185,O000734,4.0,2026-02-07,Not as expected
R000186,O005606,5.0,2026-03-08,Excellent product
R000187,O003227,5.0,2026-06-04,Damaged package
R000188,O003241,4.0,2026-03-26,Damaged package
R000189,O006652,5.0,2026-07-01,Good quality
R000190,O003878,5.0,2026-01-21,Good quality
R000191,O002289,2.0,2026-05-01,Fast delivery
R000192,O004271,4.0,2026-06-08,Average experience
R000193,O005088,4.0,2026-08-11,Excellent product
R000194,O005783,1.0,2026-06-05,Excellent product
R000195,O000757,3.0,2026-03-21,Damaged package
R000196,O004964,4.0,2026-01-15,Late delivery
R000197,O003214,5.0,2026-03-21,Excellent product
R000198,O001484,5.0,2026-02-17,Fast delivery
R000199,O000322,1.0,2026-08-20,Average experience
R000200,O001903,5.0,2026-02-24,Not as expected
R000201,O004804,3.0,2026-05-04,Damaged package
R000202,O006994,5.0,2026-07-21,Not as expected
R000203,O002413,4.0,2026-06-15,Good quality
R000204,O003114,3.0,2026-06-18,Excellent product
R000205,O002944,5.0,2026-05-30,Excellent product
R000206,O002224,2.0,2026-08-10,Excellent product
R000207,O006486,3.0,2026-08-15,Good quality
R000208,O004523,2.0,2026-04-25,Good quality
R000209,O004632,4.0,2026-01-18,Average experience
R000210,O000231,3.0,2026-07-11,Late delivery
R000211,O004629,5.0,2026-04-10,Late delivery
R000212,O000555,4.0,2026-07-04,Not as expected
R000213,O005778,5.0,2026-03-18,Excellent product
R000214,O003821,4.0,2026-07-04,Great value
R000215,O004376,3.0,2026-08-08,Fast delivery
R000216,O001023,4.0,2026-04-25,Not as expected
R000217,O004528,5.0,,Average experience
R000218,O000394,4.0,2026-05-27,Damaged package
R000219,O005725,4.0,2026-03-04,Excellent product
R000220,O006928,3.0,2026-06-03,Fast delivery
R000221,O004025,4.0,2026-04-18,Not as expected
R000222,O000252,4.0,2026-07-26,Average experience
R000223,O003128,2.0,2026-07-17,Average experience
R000224,O001672,4.0,2026-07-18,Good quality
R000225,O003732,5.0,2026-06-12,Not as expected
R000226,O004535,3.0,2026-04-29,Damaged package
R000227,O003354,3.0,2026-05-13,Great value
R000228,O005707,4.0,2026-04-03,Good quality
R000229,O003348,5.0,2026-07-03,Damaged package
R000230,O001413,4.0,2026-05-30,Good quality
R000231,O005002,3.0,2026-05-19,Damaged package
R000232,O001721,5.0,2026-01-07,Good quality
R000233,O003186,4.0,2026-01-19,Not as expected
R000234,O003432,5.0,2026-08-13,Late delivery
R000235,O004718,3.0,2026-02-19,Not as expected
R000236,O001104,5.0,2026-01-03,Late delivery
R000237,O001043,3.0,2026-01-24,Fast delivery
R000238,O002405,5.0,2026-04-05,Good quality
R000239,O002997,2.0,2026-02-15,Average experience
R000240,O002593,3.0,2026-01-18,Good quality
R000241,O004457,3.0,2026-07-06,Excellent product
R000242,O002198,5.0,2026-08-28,Not as expected
R000243,O000038,5.0,2026-05-22,Average experience
R000244,O000866,4.0,2026-07-31,Fast delivery
R000245,O001076,5.0,2026-06-18,Good quality
R000246,O000382,3.0,2026-03-25,Late delivery
R000247,O006555,4.0,2026-04-09,Great value
R000248,O005800,1.0,2026-02-24,Excellent product
R000249,O006144,4.0,2026-08-17,Not as expected
R000250,O000539,2.0,2026-07-20,Good quality
R000251,O005389,3.0,2026-01-05,Good quality
R000252,O004618,3.0,2026-03-02,Fast delivery
R000253,O003893,4.0,2026-08-14,Good quality
R000254,O003775,3.0,2026-01-25,Great value
R000255,O006807,2.0,2026-07-29,Damaged package
R000256,O005833,5.0,2026-04-09,Excellent product
R000257,O000309,3.0,2026-02-04,Late delivery
R000258,O000333,3.0,2026-03-07,Fast delivery
R000259,O003743,4.0,2026-05-21,Average experience
R000260,O004667,5.0,2026-02-01,Good quality
R000261,O001150,5.0,2026-02-27,Not as expected
R000262,O001635,5.0,2026-07-05,Average experience
R000263,O005485,4.0,2026-06-13,Great value
R000264,O004238,4.0,2026-03-18,Good quality
R000265,O005705,4.0,2026-04-15,Average experience
R000266,O003708,5.0,2026-04-13,Fast delivery
R000267,O002285,3.0,2026-02-16,Damaged package
R000268,O002935,5.0,2026-03-19,Good quality
R000269,O003606,5.0,2026-01-13,Average experience
R000270,O000753,4.0,2026-06-09,Great value
R000271,O002222,4.0,2026-02-05,Great value
R000272,O005723,5.0,2026-08-02,Fast delivery
R000273,O006297,5.0,2026-04-21,Late delivery
R000274,O001695,3.0,2026-04-29,Excellent product
R000275,O007156,2.0,2026-03-27,Good quality
R000276,O005784,4.0,2026-02-27,Fast delivery
R000277,O003686,4.0,2026-02-14,Late delivery
R000278,O000051,3.0,2026-03-20,Late delivery
R000279,O007080,4.0,2026-06-19,Average experience
R000280,O000246,4.0,2026-06-29,Not as expected
R000281,O000764,3.0,2026-02-16,Excellent product
R000282,O003905,4.0,2026-01-25,Late delivery
R000283,O005185,4.0,2026-07-01,Fast delivery
R000284,O000626,3.0,2026-05-27,Great value
R000285,O005486,1.0,2026-06-13,Excellent product
R000286,O002808,3.0,2026-05-16,Great value
R000287,O000966,1.0,2026-03-05,Not as expected
R000288,O004744,1.0,2026-01-28,Excellent product
R000289,O006069,4.0,2026-07-12,Average experience
R000290,O006226,5.0,2026-02-25,Average experience
R000291,O005126,4.0,2026-04-24,Average experience
R000292,O003936,5.0,2026-07-13,Damaged package
R000293,O005964,4.0,2026-06-21,Average experience
R000294,O005062,4.0,2026-05-05,Good quality
R000295,O003668,4.0,2026-08-02,Excellent product
R000296,O005169,5.0,2026-05-13,Fast delivery
R000297,O004242,4.0,2026-06-18,Fast delivery
R000298,O001374,4.0,2026-07-21,Not as expected
R000299,O005014,4.0,2026-05-07,Excellent product
R000300,O004443,5.0,2026-04-20,Good quality
R000301,O004887,5.0,2026-08-15,Damaged package
R000302,O005120,3.0,2026-07-01,Late delivery
R000303,O000697,3.0,2026-08-17,Great value
R000304,O002095,5.0,2026-06-21,Not as expected
R000305,O005782,,2026-03-25,Great value
R000306,O000234,2.0,2026-07-26,Average experience
R000307,O000066,3.0,2026-08-09,Average experience
R000308,O003102,5.0,2026-08-25,Excellent product
R000309,O005923,5.0,2026-03-18,Damaged package
R000310,O005063,2.0,2026-01-21,Good quality
R000311,O004619,2.0,2026-04-30,Damaged package
R000312,O001386,3.0,2026-08-21,Late delivery
R000313,O000430,5.0,2026-08-26,Not as expected
R000314,O004907,5.0,2026-04-10,Late delivery
R000315,O004270,4.0,2026-01-14,Fast delivery
R000316,O003609,4.0,2026-03-09,Excellent product
R000317,O000218,4.0,2026-08-20,Good quality
R000318,O002070,4.0,2026-03-08,Damaged package
R000319,O004173,5.0,2026-01-25,Average experience
R000320,O002303,5.0,2026-08-11,Excellent product
R000321,O002133,5.0,2026-04-10,Average experience
R000322,O001145,5.0,2026-08-12,Good quality
R000323,O006674,3.0,2026-05-03,Not as expected
R000324,O006270,5.0,2026-04-24,Good quality
R000325,O002733,5.0,2026-02-21,Not as expected
R000326,O006626,3.0,2026-01-16,Damaged package
R000327,O003035,4.0,2026-02-12,Late delivery
R000328,O006943,4.0,2026-03-11,Late delivery
R000329,O006722,5.0,2026-02-11,Late delivery
R000330,O005635,4.0,2026-04-20,Late delivery
R000331,O005011,4.0,2026-04-21,Excellent product
R000332,O002281,4.0,2026-06-30,Fast delivery
R000333,O003546,4.0,2026-05-27,Fast delivery
R000334,O001537,3.0,2026-03-15,Damaged package
R000335,O004082,1.0,2026-06-23,Late delivery
R000336,O005693,,2026-04-13,Not as expected
R000337,O006078,5.0,2026-02-06,Fast delivery
R000338,O003917,5.0,2026-02-01,Fast delivery
R000339,O003261,3.0,2026-07-12,Good quality
R000340,O005942,3.0,2026-05-04,Not as expected
R000341,O004963,4.0,2026-06-15,Damaged package
R000342,O004520,4.0,2026-06-10,Late delivery
R000343,O003818,2.0,2026-01-21,Excellent product
R000344,O002211,2.0,2026-05-11,Average experience
R000345,O001282,4.0,2026-01-26,Late delivery
R000346,O005152,4.0,2026-01-04,Average experience
R000347,O005415,4.0,2026-04-23,Not as expected
R000348,O000586,4.0,2026-05-03,Not as expected
R000349,O002400,4.0,2026-08-13,Excellent product
R000350,O004904,4.0,2026-05-24,Good quality
R000351,O002393,3.0,2026-03-15,Average experience
R000352,O004554,1.0,2026-03-19,Late delivery
R000353,O003309,4.0,2026-02-26,Damaged package
R000354,O005213,5.0,2026-03-11,Great value
R000355,O001318,3.0,2026-01-09,Average experience
R000356,O003434,4.0,2026-06-01,Not as expected
R000357,O005556,4.0,2026-05-05,Fast delivery
R000358,O004092,5.0,2026-07-26,Good quality
R000359,O007119,5.0,2026-03-04,Great value
R000360,O000497,4.0,2026-06-08,Average experience
R000361,O006194,4.0,2026-06-03,Not as expected
R000362,O006284,4.0,2026-02-09,Average experience
R000363,O004478,5.0,2026-03-31,Excellent product
R000364,O000319,5.0,2026-01-09,Fast delivery
R000365,O004929,2.0,2026-04-06,Fast delivery
R000366,O000177,4.0,2026-05-13,Great value
R000367,O001088,3.0,2026-07-05,Late delivery
R000368,O005677,3.0,2026-06-24,Not as expected
R000369,O005273,5.0,2026-06-07,Excellent product
R000370,O003384,5.0,2026-02-09,Damaged package
R000371,O001415,4.0,2026-08-16,Average experience
R000372,O003090,4.0,2026-05-14,Great value
R000373,O003341,4.0,2026-01-31,Good quality
R000374,O000092,5.0,2026-02-15,Damaged package
R000375,O004057,3.0,2026-02-04,Excellent product
R000376,O006328,3.0,2026-04-17,Excellent product
R000377,O006483,5.0,2026-03-29,Great value
R000378,O001420,4.0,2026-05-02,Fast delivery
R000379,O006729,3.0,2026-08-27,Average experience
R000380,O005941,5.0,2026-07-30,Not as expected
R000381,O001216,4.0,2026-05-23,Not as expected
R000382,O004234,5.0,2026-01-26,Great value
R000383,O000712,4.0,2026-05-05,Late delivery
R000384,O003533,5.0,2026-05-29,Late delivery
R000385,O003492,5.0,2026-04-28,Average experience
R000386,O006415,5.0,2026-06-05,Late delivery
R000387,O003389,5.0,2026-05-28,Not as expected
R000388,O005283,3.0,2026-06-23,Average experience
R000389,O000107,2.0,2026-01-28,Fast delivery
R000390,O005621,1.0,2026-04-20,Great value
R000391,O006170,3.0,2026-02-22,Not as expected
R000392,O001700,4.0,2026-04-03,Good quality
R000393,O003843,1.0,2026-03-18,Late delivery
R000394,O003663,4.0,2026-01-09,Not as expected
R000395,O003980,5.0,2026-05-31,Fast delivery
R000396,O001941,4.0,2026-02-20,Good quality
R000397,O005220,4.0,2026-08-25,Damaged package
R000398,O006371,5.0,2026-04-15,Not as expected
R000399,O001670,2.0,2026-04-25,Average experience
R000400,O007195,4.0,2026-07-04,Fast delivery
R000401,O001321,5.0,2026-07-07,Not as expected
R000402,O002846,3.0,2026-03-24,Damaged package
R000403,O002647,5.0,2026-01-16,Excellent product
R000404,O006675,4.0,2026-08-25,Average experience
R000405,O000961,4.0,2026-01-07,Not as expected
R000406,O006470,5.0,2026-04-29,Damaged package
R000407,O002442,5.0,2026-03-01,Fast delivery
R000408,O003236,1.0,2026-07-12,Not as expected
R000409,O001707,4.0,2026-02-13,Late delivery
R000410,O003768,4.0,2026-07-14,Damaged package
R000411,O002355,4.0,2026-04-16,Excellent product
R000412,O007140,3.0,2026-07-08,Fast delivery
R000413,O001559,4.0,2026-08-09,Not as expected
R000414,O001545,4.0,2026-01-21,Great value
R000415,O005975,5.0,2026-07-10,Not as expected
R000416,O006289,5.0,2026-05-27,Excellent product
R000417,O007154,3.0,2026-02-05,Late delivery
R000418,O000684,5.0,2026-02-04,Good quality
R000419,O002689,4.0,2026-08-17,Average experience
R000420,O001965,5.0,2026-08-25,Good quality
R000421,O006004,5.0,2026-04-15,Late delivery
R000422,O002816,4.0,2026-04-25,Damaged package
R000423,O005734,5.0,2026-02-10,Damaged package
R000424,O006329,1.0,2026-06-08,Late delivery
R000425,O004685,5.0,2026-04-29,Fast delivery
R000426,O005179,5.0,2026-07-15,Great value
R000427,O000458,2.0,2026-07-28,Great value
R000428,O001678,3.0,2026-07-14,Damaged package
R000429,O002209,4.0,2026-01-31,Damaged package
R000430,O005314,3.0,2026-07-28,Great value
R000431,O001873,5.0,2026-01-25,Late delivery
R000432,O005982,3.0,2026-06-15,Excellent product
R000433,O006681,4.0,2026-05-24,Excellent product
R000434,O000995,4.0,2026-06-08,Excellent product
R000435,O006018,4.0,2026-02-19,Great value
R000436,O005453,3.0,2026-06-03,Good quality
R000437,O001006,4.0,2026-06-25,Late delivery
R000438,O004853,5.0,2026-05-15,Great value
R000439,O006073,3.0,2026-03-20,Good quality
R000440,O003858,2.0,2026-08-17,Excellent product
R000441,O002424,5.0,2026-07-10,Damaged package
R000442,O004956,5.0,2026-04-07,Not as expected
R000443,O006958,4.0,2026-01-22,Fast delivery
R000444,O003979,5.0,2026-04-13,Excellent product
R000445,O006050,5.0,2026-03-13,Late delivery
R000446,O002019,3.0,2026-03-09,Late delivery
R000447,O000743,3.0,2026-03-04,Good quality
R000448,O006267,4.0,2026-04-10,Average experience
R000449,O001587,5.0,2026-02-14,Not as expected
R000450,O006799,5.0,2026-08-25,Great value
R000451,O006637,4.0,2026-08-26,Not as expected
R000452,O006387,1.0,2026-02-27,Damaged package
R000453,O005177,2.0,2026-08-22,Not as expected
R000454,O006826,5.0,2026-07-02,Damaged package
R000455,O002313,4.0,2026-07-27,Fast delivery
R000456,O006942,2.0,2026-03-26,Damaged package
R000457,O001079,5.0,2026-01-24,Good quality
R000458,O003602,4.0,2026-07-18,Average experience
R000459,O002806,4.0,2026-01-28,Great value
R000460,O002228,5.0,2026-03-23,Great value
R000461,O000320,4.0,2026-04-19,Excellent product
R000462,O004327,5.0,2026-05-18,Damaged package
R000463,O006131,4.0,2026-05-05,Average experience
R000464,O006841,4.0,2026-04-08,Not as expected
R000465,O000062,5.0,2026-08-28,Excellent product
R000466,O000983,4.0,2026-03-16,Excellent product
R000467,O001919,4.0,2026-01-03,Damaged package
R000468,O005272,4.0,2026-02-27,Great value
R000469,O002883,5.0,2026-01-25,Damaged package
R000470,O004690,5.0,2026-01-26,Late delivery
R000471,O002472,5.0,2026-05-29,Average experience
R000472,O002116,5.0,2026-04-13,Average experience
R000473,O005915,4.0,2026-05-16,Excellent product
R000474,O000170,3.0,2026-03-27,Average experience
R000475,O004734,4.0,2026-04-20,Fast delivery
R000476,O003485,4.0,2026-04-07,Excellent product
R000477,O003974,5.0,2026-08-16,Great value
R000478,O003444,4.0,2026-02-14,Fast delivery
R000479,O003687,4.0,2026-07-04,Not as expected
R000480,O006790,4.0,2026-02-14,Not as expected
R000481,O004608,2.0,2026-03-04,Great value
R000482,O005045,4.0,2026-08-30,Fast delivery
R000483,O006686,4.0,2026-01-14,Average experience
R000484,O000577,4.0,2026-02-24,Not as expected
R000485,O004181,5.0,2026-02-27,Good quality
R000486,O001663,4.0,2026-05-01,Great value
R000487,O000504,4.0,2026-02-21,Excellent product
R000488,O003407,5.0,2026-06-08,Average experience
R000489,O003911,5.0,2026-04-30,Late delivery
R000490,O004005,5.0,2026-01-11,Late delivery
R000491,O005908,3.0,2026-02-14,Good quality
R000492,O000180,4.0,2026-05-29,Average experience
R000493,O000744,3.0,2026-04-28,Not as expected
R000494,O004450,1.0,2026-03-10,Fast delivery
R000495,O000713,5.0,2026-03-13,Fast delivery
R000496,O001596,4.0,2026-02-18,Late delivery
R000497,O002904,3.0,2026-04-30,Fast delivery
R000498,O007081,4.0,2026-08-08,Late delivery
R000499,O002716,3.0,2026-08-15,Not as expected
R000500,O006627,1.0,2026-03-28,Excellent product
R000501,O000032,4.0,2026-03-11,Good quality
R000502,O003555,3.0,2026-03-11,Fast delivery
R000503,O001098,1.0,2026-05-24,Great value
R000504,O001935,5.0,2026-08-08,Not as expected
R000505,O001452,5.0,2026-01-25,Excellent product
R000506,O006985,2.0,2026-04-09,Average experience
R000507,O000169,4.0,2026-01-26,Excellent product
R000508,O005911,3.0,2026-04-19,Not as expected
R000509,O004557,1.0,2026-06-20,Fast delivery
R000510,O004975,4.0,2026-02-26,Damaged package
R000511,O001373,5.0,2026-08-19,Late delivery
R000512,O003881,4.0,2026-03-09,Late delivery
R000513,O003683,2.0,2026-06-26,Great value
R000514,O005434,4.0,2026-01-06,Not as expected
R000515,O001499,5.0,2026-06-04,Damaged package
R000516,O000677,4.0,2026-01-02,Damaged package
R000517,O004395,4.0,2026-01-11,Average experience
R000518,O001508,3.0,2026-08-10,Great value
R000519,O005242,5.0,2026-03-21,Fast delivery
R000520,O001478,5.0,2026-01-07,Average experience
R000521,O001967,5.0,2026-08-14,Good quality
R000522,O004049,2.0,2026-03-09,Good quality
R000523,O006852,4.0,2026-07-31,Not as expected
R000524,O004099,3.0,2026-07-24,Good quality
R000525,O006964,2.0,2026-01-11,Late delivery
R000526,O003590,4.0,2026-07-19,Damaged package
R000527,O002408,4.0,2026-08-26,Late delivery
R000528,O001164,5.0,2026-01-24,Average experience
R000529,O002923,5.0,2026-07-31,Not as expected
R000530,O005145,2.0,2026-06-02,Average experience
R000531,O002064,2.0,2026-03-02,Late delivery
R000532,O000501,5.0,2026-01-14,Good quality
R000533,O000438,5.0,2026-08-18,Late delivery
R000534,O005698,1.0,2026-04-25,Fast delivery
R000535,O003828,5.0,2026-03-25,Fast delivery
R000536,O002765,4.0,2026-02-15,Fast delivery
R000537,O002663,5.0,2026-05-16,Not as expected
R000538,O000081,4.0,2026-04-11,Average experience
R000539,O002723,5.0,2026-06-30,Late delivery
R000540,O006552,4.0,2026-07-06,Late delivery
R000541,O002707,4.0,2026-07-04,Great value
R000542,O006384,3.0,2026-05-08,Not as expected
R000543,O004779,4.0,2026-06-17,Good quality
R000544,O006595,2.0,2026-03-24,Fast delivery
R000545,O004193,4.0,2026-04-09,Good quality
R000546,O002922,2.0,2026-03-04,Good quality
R000547,O001502,4.0,2026-06-08,Fast delivery
R000548,O005929,2.0,2026-01-20,Damaged package
R000549,O005927,4.0,2026-08-24,Damaged package
R000550,O001745,4.0,2026-01-08,Excellent product
R000551,O000535,4.0,2026-05-09,Excellent product
R000552,O006273,4.0,2026-07-06,Average experience
R000553,O000933,3.0,2026-03-13,Average experience
R000554,O002319,5.0,2026-06-05,Fast delivery
R000555,O002317,4.0,2026-05-31,Average experience
R000556,O003711,5.0,2026-05-25,Late delivery
R000557,O005041,5.0,2026-08-15,Average experience
R000558,O001468,2.0,2026-05-31,Great value
R000559,O004941,5.0,2026-02-26,Late delivery
R000560,O002875,1.0,2026-08-20,Not as expected
R000561,O005995,5.0,2026-07-19,Average experience
R000562,O004540,4.0,2026-07-21,Great value
R000563,O007028,4.0,2026-08-14,Late delivery
R000564,O006596,4.0,2026-07-24,Not as expected
R000565,O005684,5.0,2026-06-29,Not as expected
R000566,O002577,4.0,2026-01-31,Not as expected
R000567,O007019,5.0,2026-04-11,Excellent product
