payment_id,order_id,payment_method,payment_status,amount
PAY0000129,O000129,Card,Failed,52000.0
PAY0000130,O000130,Card,Failed,56100.0
PAY0000131,O000131,Bank Transfer,Paid,28000.0
PAY0000132,O000132,Bank Transfer,Paid,130000.0
PAY0000133,O000133,Card,Paid,28150.0
PAY0000134,O000134,Card,Paid,30600.0
PAY0000135,O000135,Card,Paid,65000.0
PAY0000136,O000136,Card,Paid,24000.0
PAY0000137,O000137,Card,Paid,35150.0
PAY0000138,O000138,Card,Paid,45000.0
PAY0000139,O000139,Bank Transfer,Paid,52000.0
PAY0000140,O000140,Bank Transfer,Paid,84000.0
PAY0000141,O000141,Wallet,Paid,84500.0
PAY0000142,O000142,Bank Transfer,Failed,140400.0
PAY0000143,O000143,Bank Transfer,Paid,8100.0
PAY0000144,O000144,Bank Transfer,Paid,30000.0
PAY0000145,O000145,Cash on Delivery,Paid,53200.0
PAY0000146,O000146,Card,Paid,104000.0
PAY0000147,O000147,Card,Paid,51300.0
PAY0000148,O000148,Cash on Delivery,Paid,83700.0
PAY0000149,O000149,Cash on Delivery,Paid,20900.0
PAY0000150,O000150,Card,Paid,64800.0
PAY0000151,O000151,Cash on Delivery,Paid,23800.0
PAY0000152,O000152,Bank Transfer,Paid,19500.0
PAY0000153,O000153,Card,Paid,36000.0
PAY0000154,O000154,Card,Paid,12000.0
PAY0000155,O000155,Wallet,Paid,28000.0
PAY0000156,O000156,Card,Paid,34150.0
PAY0000157,O000157,Card,Paid,91950.0
PAY0000158,O000158,Cash on Delivery,Paid,15000.0
PAY0000159,O000159,Wallet,Paid,52800.0
PAY0000160,O000160,Card,Paid,11700.0
PAY0000161,O000161,Card,Paid,84900.0
PAY0000162,O000162,Cash on Delivery,Paid,36000.0
PAY0000163,O000163,Cash on Delivery,Paid,32400.0
PAY0000164,O000164,Bank Transfer,Paid,13500.0
PAY0000165,O000165,Wallet,Paid,123500.0
PAY0000166,O000166,Bank Transfer,Paid,64800.0
PAY0000167,O000167,Card,Paid,25200.0
PAY0000168,O000168,Bank Transfer,Paid,32500.0
PAY0000169,O000169,Cash on Delivery,Paid,39600.0
PAY0000170,O000170,Cash on Delivery,Paid,62500.0
PAY0000171,O000171,Cash on Delivery,Paid,8100.0
PAY0000172,O000172,Cash on Delivery,Paid,20400.0
PAY0000173,O000173,Cash on Delivery,Paid,40500.0
PAY0000174,O000174,Bank Transfer,Paid,21600.0
PAY0000175,O000175,Card,Paid,16200.0
PAY0000176,O000176,Cash on Delivery,Paid,98800.0
PAY0000177,O000177,Card,Paid,28500.0
PAY0000178,O000178,Card,Paid,-65000.0
PAY0000179,O000179,Cash on Delivery,Paid,50400.0
PAY0000180,O000180,Wallet,Paid,25500.0
PAY0000181,O000181,Card,Paid,15000.0
PAY0000182,O000182,Bank Transfer,Paid,16500.0
PAY0000183,O000183,Card,Paid,25500.0
PAY0000184,O000184,Card,Paid,36000.0
PAY0000185,O000185,Cash on Delivery,Paid,67900.0
PAY0000186,O000186,Card,Paid,19500.0
PAY0000187,O000187,Bank Transfer,Paid,7500.0
PAY0000188,O000188,Cash on Delivery,Paid,9000.0
PAY0000189,O000189,Cash on Delivery,Paid,45600.0
PAY0000190,O000190,Bank Transfer,Paid,35625.0
PAY0000191,O000191,Card,Paid,49400.0
PAY0000192,O000192,Cash on Delivery,Paid,10800.0
PAY0000193,O000193,Card,Paid,61200.0
PAY0000194,O000194,Cash on Delivery,Paid,45000.0
PAY0000195,O000195,Bank Transfer,Paid,4275.0
PAY0000196,O000196,Cash on Delivery,Paid,70800.0
PAY0000197,O000197,Card,Paid,38500.0
PAY0000198,O000198,Cash on Delivery,Paid,21600.0
PAY0000199,O000199,Cash on Delivery,Paid,36000.0
PAY0000200,O000200,Card,Paid,113600.0
PAY0000201,O000201,Card,Paid,15600.0
PAY0000202,O000202,Cash on Delivery,Paid,45000.0
PAY0000203,O000203,Bank Transfer,Paid,39900.0
PAY0000204,O000204,Cash on Delivery,Paid,175500.0
PAY0000205,O000205,Cash on Delivery,Paid,4275.0
PAY0000206,O000206,Bank Transfer,Paid,34200.0
PAY0000207,O000207,Bank Transfer,Paid,79800.0
PAY0000208,O000208,Card,Paid,4275.0
PAY0000209,O000209,Card,Paid,53200.0
PAY0000210,O000210,Cash on Delivery,Paid,107700.0
PAY0000211,O000211,Bank Transfer,Pending,8075.0
PAY0000212,O000212,Card,Paid,10200.0
PAY0000213,O000213,Bank Transfer,Paid,65000.0
PAY0000214,O000214,Card,Paid,12750.0
PAY0000215,O000215,Cash on Delivery,Pending,130000.0
PAY0000216,O000216,Bank Transfer,Paid,75600.0
PAY0000217,O000217,Card,Paid,40800.0
PAY0000218,O000218,Bank Transfer,Paid,6500.0
PAY0000219,O000219,Bank Transfer,Paid,24225.0
PAY0000220,O000220,Card,Paid,66800.0
PAY0000221,O000221,Card,Paid,53200.0
PAY0000222,O000222,Bank Transfer,Paid,12825.0
PAY0000223,O000223,Wallet,Paid,13000.0
PAY0000224,O000224,Cash on Delivery,Paid,209475.0
PAY0000225,O000225,Card,Paid,52000.0
PAY0000226,O000226,Card,Paid,13500.0
PAY0000227,O000227,Card,Paid,7225.0
PAY0000228,O000228,Cash on Delivery,Paid,11700.0
PAY0000229,O000229,Bank Transfer,Paid,5000.0
PAY0000230,O000230,Cash on Delivery,Paid,22000.0
PAY0000231,O000231,Bank Transfer,Pending,8500.0
PAY0000232,O000232,Card,Paid,46800.0
PAY0000233,O000233,Card,Paid,104000.0
PAY0000234,O000234,Card,Paid,8500.0
PAY0000235,O000235,Bank Transfer,Paid,17000.0
PAY0000236,O000236,Cash on Delivery,Paid,93600.0
PAY0000237,O000237,Bank Transfer,Paid,79900.0
PAY0000238,O000238,Card,Paid,45000.0
PAY0000239,O000239,Bank Transfer,Paid,34200.0
PAY0000240,O000240,Cash on Delivery,Paid,24225.0
PAY0000241,O000241,Card,Paid,29650.0
PAY0000242,O000242,Bank Transfer,Paid,19800.0
PAY0000243,O000243,Card,Failed,7225.0
PAY0000244,O000244,Bank Transfer,Paid,25500.0
PAY0000245,O000245,Cash on Delivery,Paid,21675.0
PAY0000246,O000246,Cash on Delivery,Paid,56000.0
PAY0000247,O000247,Cash on Delivery,Paid,21600.0
PAY0000248,O000248,Wallet,Paid,69800.0
PAY0000249,O000249,Cash on Delivery,Paid,17000.0
PAY0000250,O000250,Card,Paid,7500.0
PAY0000251,O000251,Wallet,Pending,61750.0
PAY0000252,O000252,Card,Paid,57600.0
PAY0000253,O000253,Cash on Delivery,Paid,55250.0
PAY0000254,O000254,Bank Transfer,Paid,65000.0
PAY0000255,O000255,Card,Paid,34200.0
PAY0000256,O000256,Card,Paid,25500.0
PAY0000257,O000257,Bank Transfer,Paid,104000.0
PAY0000258,O000258,Card,Paid,21600.0
PAY0000259,O000259,Cash on Delivery,Paid,56000.0
PAY0000260,O000260,Card,Paid,25200.0
PAY0000261,O000261,Card,Paid,124800.0
PAY0000262,O000262,Bank Transfer,Paid,15000.0
PAY0000263,O000263,Wallet,Paid,17000.0
PAY0000264,O000264,Cash on Delivery,Paid,68400.0
PAY0000265,O000265,Card,Paid,18000.0
PAY0000266,O000266,Card,Pending,7500.0
PAY0000267,O000267,Card,Paid,50400.0
PAY0000268,O000268,Bank Transfer,Paid,12825.0
PAY0000269,O000269,Bank Transfer,Paid,50400.0
PAY0000270,O000270,Card,Paid,16200.0
PAY0000271,O000271,Card,Paid,75600.0
PAY0000272,O000272,Cash on Delivery,Paid,47100.0
PAY0000273,O000273,Bank Transfer,Paid,9000.0
PAY0000274,O000274,Cash on Delivery,Paid,133200.0
PAY0000275,O000275,Cash on Delivery,Paid,144750.0
PAY0000276,O000276,Cash on Delivery,Paid,9000.0
PAY0000277,O000277,Card,Paid,30000.0
PAY0000278,O000278,Cash on Delivery,Paid,24000.0
PAY0000279,O000279,Card,Paid,18000.0
PAY0000280,O000280,Card,Paid,13000.0
PAY0000281,O000281,Card,Paid,7650.0
PAY0000282,O000282,Cash on Delivery,Paid,7500.0
PAY0000283,O000283,Wallet,Paid,59400.0
PAY0000284,O000284,Card,Paid,25500.0
PAY0000285,O000285,Cash on Delivery,Paid,64400.0
PAY0000286,O000286,Bank Transfer,Pending,28000.0
PAY0000287,O000287,Bank Transfer,Paid,55125.0
PAY0000288,O000288,Cash on Delivery,Failed,56000.0
PAY0000289,O000289,Bank Transfer,Paid,289250.0
PAY0000290,O000290,Card,Paid,53200.0
PAY0000291,O000291,Bank Transfer,Paid,21600.0
PAY0000292,O000292,Bank Transfer,Paid,10800.0
PAY0000293,O000293,Cash on Delivery,Paid,130000.0
PAY0000294,O000294,Card,Paid,36000.0
PAY0000295,O000295,Card,Paid,84000.0
PAY0000296,O000296,Card,Paid,32400.0
PAY0000297,O000297,Card,Pending,4275.0
PAY0000298,O000298,Bank Transfer,Paid,36000.0
PAY0000299,O000299,Card,Paid,2000.0
PAY0000300,O000300,Card,Paid,12825.0
PAY0000301,O000301,Cash on Delivery,Paid,28800.0
PAY0000302,O000302,Card,Paid,10800.0
PAY0000303,O000303,Card,Paid,71000.0
PAY0000304,O000304,Card,Paid,98800.0
PAY0000305,O000305,Wallet,Paid,14250.0
PAY0000306,O000306,Wallet,Paid,145000.0
PAY0000307,O000307,Card,Paid,24225.0
PAY0000308,O000308,Card,Paid,36000.0
PAY0000309,O000309,Cash on Delivery,Paid,7125.0
PAY0000310,O000310,Bank Transfer,Paid,180000.0
PAY0000311,O000311,Card,Paid,4500.0
PAY0000312,O000312,Cash on Delivery,Paid,278200.0
PAY0000313,O000313,Card,Paid,48600.0
PAY0000314,O000314,Card,Paid,103500.0
PAY0000315,O000315,Cash on Delivery,Paid,148200.0
PAY0000316,O000316,Card,Paid,5000.0
PAY0000317,O000317,Cash on Delivery,Failed,20400.0
PAY0000318,O000318,Card,Paid,11400.0
PAY0000319,O000319,Card,Paid,27000.0
PAY0000320,O000320,Card,Paid,45900.0
PAY0000321,O000321,Card,Paid,48600.0
PAY0000322,O000322,Cash on Delivery,Paid,39600.0
PAY0000323,O000323,Card,Paid,175500.0
PAY0000324,O000324,Cash on Delivery,Paid,2375.0
PAY0000325,O000325,Bank Transfer,Paid,41800.0
PAY0000326,O000326,Bank Transfer,Paid,84000.0
PAY0000327,O000327,Wallet,Paid,84000.0
PAY0000328,O000328,Card,Paid,74100.0
PAY0000329,O000329,Wallet,Paid,76000.0
PAY0000330,O000330,Bank Transfer,Paid,22800.0
PAY0000331,O000331,Card,Paid,2500.0
PAY0000332,O000332,Card,Paid,97000.0
PAY0000333,O000333,Card,Paid,50100.0
PAY0000334,O000334,Bank Transfer,Paid,90400.0
PAY0000335,O000335,Cash on Delivery,Paid,12000.0
PAY0000336,O000336,Card,Paid,30000.0
PAY0000337,O000337,Bank Transfer,Paid,22800.0
PAY0000338,O000338,Bank Transfer,Paid,54000.0
PAY0000339,O000339,Cash on Delivery,Paid,22550.0
PAY0000340,O000340,Card,Paid,123500.0
PAY0000341,O000341,Card,Paid,240000.0
PAY0000342,O000342,Bank Transfer,Paid,22800.0
PAY0000343,O000343,Bank Transfer,Paid,117000.0
PAY0000344,O000344,Cash on Delivery,Paid,140400.0
PAY0000345,O000345,Bank Transfer,Paid,61750.0
PAY0000346,O000346,Card,Paid,6500.0
PAY0000347,O000347,Cash on Delivery,Paid,32400.0
PAY0000348,O000348,Card,Paid,30000.0
PAY0000349,O000349,Wallet,Paid,199500.0
PAY0000350,O000350,Cash on Delivery,Paid,36000.0
PAY0000351,O000351,Card,Paid,65200.0
PAY0000352,O000352,Card,Paid,58500.0
PAY0000353,O000353,Wallet,Paid,61750.0
PAY0000354,O000354,Wallet,Paid,22000.0
PAY0000355,O000355,Bank Transfer,Paid,9000.0
PAY0000356,O000356,Cash on Delivery,Paid,48000.0
PAY0000357,O000357,Cash on Delivery,Paid,22800.0
PAY0000358,O000358,Cash on Delivery,Paid,39300.0
PAY0000359,O000359,Card,Paid,51775.0
PAY0000360,O000360,Card,Paid,195000.0
PAY0000361,O000361,Card,Paid,25200.0
PAY0000362,O000362,Card,Paid,14250.0
PAY0000363,O000363,Cash on Delivery,Paid,45000.0
PAY0000364,O000364,Card,Paid,18700.0
PAY0000365,O000365,Cash on Delivery,Paid,12750.0
PAY0000366,O000366,Bank Transfer,Paid,13500.0
PAY0000367,O000367,Bank Transfer,Paid,9000.0
PAY0000368,O000368,Card,Paid,6375.0
PAY0000369,O000369,Card,Paid,49400.0
PAY0000370,O000370,Card,Paid,42750.0
PAY0000371,O000371,Cash on Delivery,Paid,118560.0
PAY0000372,O000372,Card,Paid,56000.0
PAY0000373,O000373,Bank Transfer,Paid,2500.0
PAY0000374,O000374,Cash on Delivery,Paid,5000.0
PAY0000375,O000375,Cash on Delivery,Paid,53200.0
PAY0000376,O000376,Card,Paid,19800.0
PAY0000377,O000377,Card,Paid,37225.0
PAY0000378,O000378,Bank Transfer,Paid,93600.0
PAY0000379,O000379,Cash on Delivery,Paid,148000.0
PAY0000380,O000380,Card,Paid,12000.0
PAY0000381,O000381,Bank Transfer,Paid,65700.0
PAY0000382,O000382,Card,Paid,48600.0
PAY0000383,O000383,Cash on Delivery,Paid,22400.0
PAY0000384,O000384,Bank Transfer,Paid,8075.0
PAY0000385,O000385,Wallet,Paid,195000.0
PAY0000386,O000386,Bank Transfer,Paid,14250.0
PAY0000387,O000387,Card,Paid,18700.0
PAY0000388,O000388,Cash on Delivery,Paid,8500.0
PAY0000389,O000389,Cash on Delivery,Failed,7650.0
PAY0000390,O000390,Card,Paid,47100.0
PAY0000391,O000391,Bank Transfer,Paid,21600.0
PAY0000392,O000392,Card,Paid,22800.0
PAY0000393,O000393,Cash on Delivery,Paid,43200.0
PAY0000394,O000394,Card,Paid,36000.0
PAY0000395,O000395,Card,Paid,13500.0
PAY0000396,O000396,Card,Paid,21600.0
PAY0000397,O000397,Card,Paid,37150.0
PAY0000398,O000398,Wallet,Paid,63525.0
PAY0000399,O000399,Bank Transfer,Paid,15300.0
PAY0000400,O000400,Card,Paid,24000.0
PAY0000401,O000401,Card,Paid,30000.0
PAY0000402,O000402,Wallet,Pending,15000.0
PAY0000403,O000403,Cash on Delivery,Paid,130000.0
PAY0000404,O000404,Cash on Delivery,Paid,20900.0
PAY0000405,O000405,Cash on Delivery,Paid,5525.0
PAY0000406,O000406,Card,Paid,18700.0
PAY0000407,O000407,Card,Paid,27000.0
PAY0000408,O000408,Card,Paid,13600.0
PAY0000409,O000409,Cash on Delivery,Paid,11400.0
PAY0000410,O000410,Card,Pending,55250.0
PAY0000411,O000411,Cash on Delivery,Paid,65000.0
PAY0000412,O000412,Wallet,Paid,40500.0
PAY0000413,O000413,Card,Paid,41800.0
PAY0000414,O000414,Card,Paid,19500.0
PAY0000415,O000415,Cash on Delivery,Paid,7225.0
PAY0000416,O000416,Card,Paid,28000.0
PAY0000417,O000417,Bank Transfer,Paid,17550.0
PAY0000418,O000418,Cash on Delivery,Paid,40800.0
PAY0000419,O000419,Card,Paid,45600.0
PAY0000420,O000420,Cash on Delivery,Paid,22400.0
PAY0000421,O000421,Cash on Delivery,Paid,15000.0
PAY0000422,O000422,Bank Transfer,Paid,19500.0
PAY0000423,O000423,Card,Paid,32500.0
PAY0000424,O000424,Cash on Delivery,Paid,16150.0
PAY0000425,O000425,Wallet,Paid,25500.0
PAY0000426,O000426,Card,Paid,19200.0
PAY0000427,O000427,Bank Transfer,Paid,46800.0
PAY0000428,O000428,Cash on Delivery,Paid,8075.0
PAY0000429,O000429,Card,Paid,77200.0
PAY0000430,O000430,Wallet,Paid,94800.0
PAY0000431,O000431,Bank Transfer,Paid,6750.0
PAY0000432,O000432,Cash on Delivery,Paid,44200.0
PAY0000433,O000433,Cash on Delivery,Paid,41800.0
PAY0000434,O000434,Card,Paid,66600.0
PAY0000435,O000435,Card,Paid,53200.0
PAY0000436,O000436,Bank Transfer,Paid,195000.0
PAY0000437,O000437,Cash on Delivery,Paid,25200.0
PAY0000438,O000438,Card,Pending,12825.0
PAY0000439,O000439,Bank Transfer,Paid,38400.0
PAY0000440,O000440,Cash on Delivery,Paid,18700.0
PAY0000441,O000441,Card,Failed,195000.0
PAY0000442,O000442,Card,Paid,8500.0
PAY0000443,O000443,Wallet,Paid,22950.0
PAY0000444,O000444,Card,Paid,8100.0
PAY0000445,O000445,Card,Paid,14250.0
PAY0000446,O000446,Cash on Delivery,Paid,21060.0
PAY0000447,O000447,Cash on Delivery,Paid,148200.0
PAY0000448,O000448,Cash on Delivery,Paid,25500.0
PAY0000449,O000449,Wallet,Paid,15600.0
PAY0000450,O000450,Card,Paid,19800.0
PAY0000451,O000451,Card,Paid,28000.0
PAY0000452,O000452,Wallet,Paid,19800.0
PAY0000453,O000453,Card,Paid,27000.0
PAY0000454,O000454,Wallet,Paid,176550.0
PAY0000455,O000455,Bank Transfer,Paid,4275.0
PAY0000456,O000456,Bank Transfer,Paid,14450.0
PAY0000457,O000457,Card,Paid,82350.0
PAY0000458,O000458,Card,Paid,28200.0
PAY0000459,O000459,Card,Paid,7500.0
PAY0000460,O000460,Card,Paid,22800.0
PAY0000461,O000461,Bank Transfer,Paid,85500.0
PAY0000462,O000462,Card,Paid,12000.0
PAY0000463,O000463,Card,Paid,4500.0
PAY0000464,O000464,Card,Paid,7650.0
PAY0000465,O000465,Cash on Delivery,Failed,25500.0
PAY0000466,O000466,Card,Paid,9000.0
PAY0000467,O000467,Bank Transfer,Paid,114750.0
PAY0000468,O000468,Card,Paid,10200.0
PAY0000469,O000469,Cash on Delivery,Paid,123500.0
PAY0000470,O000470,Bank Transfer,Paid,110500.0
PAY0000471,O000471,Cash on Delivery,Paid,21600.0
PAY0000472,O000472,Bank Transfer,Paid,58500.0
PAY0000473,O000473,Bank Transfer,Paid,23800.0
PAY0000474,O000474,Card,Paid,54000.0
PAY0000475,O000475,Card,Paid,58500.0
PAY0000476,O000476,Bank Transfer,Paid,4500.0
PAY0000477,O000477,Cash on Delivery,Paid,130000.0
PAY0000478,O000478,Wallet,Paid,17000.0
PAY0000479,O000479,Card,Paid,14400.0
PAY0000480,O000480,Wallet,Paid,112500.0
PAY0000481,O000481,Wallet,Paid,62700.0
PAY0000482,O000482,Card,Paid,100150.0
PAY0000483,O000483,Card,Paid,18000.0
PAY0000484,O000484,Card,Pending,12000.0
PAY0000485,O000485,Cash on Delivery,Paid,41800.0
PAY0000486,O000486,Card,Paid,104000.0
PAY0000487,O000487,Card,Paid,186550.0
PAY0000488,O000488,Bank Transfer,Paid,28500.0
PAY0000489,O000489,Card,Paid,44100.0
PAY0000490,O000490,Bank Transfer,Paid,55250.0
PAY0000491,O000491,Card,Paid,2375.0
PAY0000492,O000492,Bank Transfer,Paid,54000.0
PAY0000493,O000493,Card,Paid,56000.0
PAY0000494,O000494,Card,Paid,50250.0
PAY0000495,O000495,Bank Transfer,Paid,208800.0
PAY0000496,O000496,Card,Paid,56000.0
PAY0000497,O000497,Card,Paid,30000.0
PAY0000498,O000498,Card,Paid,45000.0
PAY0000499,O000499,Cash on Delivery,Paid,3825.0
PAY0000500,O000500,Cash on Delivery,Paid,17100.0
PAY0000501,O000501,Card,Paid,5850.0
PAY0000502,O000502,Wallet,Paid,25500.0
PAY0000503,O000503,Card,Paid,62700.0
PAY0000504,O000504,Bank Transfer,Paid,38900.0
PAY0000505,O000505,Cash on Delivery,Paid,48600.0
PAY0000506,O000506,Card,Paid,88400.0
PAY0000507,O000507,Cash on Delivery,Paid,65000.0
PAY0000508,O000508,Cash on Delivery,Paid,51300.0
PAY0000509,O000509,Cash on Delivery,Paid,51500.0
PAY0000510,O000510,Bank Transfer,Paid,13500.0
PAY0000511,O000511,Cash on Delivery,Paid,12000.0
PAY0000512,O000512,Cash on Delivery,Paid,35000.0
PAY0000513,O000513,Card,Paid,18700.0
PAY0000514,O000514,Cash on Delivery,Paid,39800.0
PAY0000515,O000515,Cash on Delivery,Paid,148200.0
PAY0000516,O000516,Wallet,Paid,168350.0
PAY0000517,O000517,Bank Transfer,Paid,6175.0
PAY0000518,O000518,Card,Paid,13000.0
PAY0000519,O000519,Bank Transfer,Paid,84000.0
PAY0000520,O000520,Cash on Delivery,Paid,10800.0
PAY0000521,O000521,Cash on Delivery,Paid,60200.0
PAY0000522,O000522,Card,Paid,20900.0
PAY0000523,O000523,Bank Transfer,Paid,75825.0
PAY0000524,O000524,Card,Paid,66000.0
PAY0000525,O000525,Bank Transfer,Paid,22000.0
PAY0000526,O000526,Cash on Delivery,Paid,84000.0
PAY0000527,O000527,Card,Pending,16150.0
PAY0000528,O000528,Cash on Delivery,Paid,40500.0
PAY0000529,O000529,Card,Paid,53200.0
PAY0000530,O000530,Card,Paid,43200.0
PAY0000531,O000531,Cash on Delivery,Paid,41800.0
PAY0000532,O000532,Card,Paid,8500.0
PAY0000533,O000533,Card,Paid,84000.0
PAY0000534,O000534,Cash on Delivery,Paid,4500.0
PAY0000535,O000535,Card,Paid,40500.0
PAY0000536,O000536,Card,Paid,17100.0
PAY0000537,O000537,Card,Paid,12825.0
PAY0000538,O000538,Cash on Delivery,Pending,132600.0
