order_id,customer_id,order_date,status,sales_channel,shipping_city
O000058,C0380,2026-03-15,Returned,Website,Islamabad
O000059,C0388,2026-08-17,Delivered,Website,Lahore
O000060,C0038,2026-04-17,Delivered,Mobile App,Lahore
O000061,C0363,2026-02-28,Delivered,Website,Karachi
O000062,C0567,2026-08-28,Delivered,Website,Lahore
O000063,C0472,2026-04-20,Delivered,Marketplace,Multan
O000064,C0125,2026-08-28,Delivered,Mobile App,Rawalpindi
O000065,C0548,2026-08-12,Delivered,Mobile App,Rawalpindi
O000066,C0410,2026-08-09,Delivered,Website,Karachi
O000067,C0035,2026-05-22,Delivered,Marketplace,Lahore
O000068,C0077,2026-07-14,Delivered,Marketplace,Peshawar
O000069,C0553,2026-08-22,Returned,Mobile App,Multan
O000070,C0126,2026-03-07,Delivered,Mobile App,Rawalpindi
O000071,C0059,2026-01-10,Delivered,Marketplace,Lahore
O000072,C0271,2026-03-19,Delivered,Marketplace,Karachi
O000073,C0316,2026-06-04,Delivered,Website,Karachi
O000074,C0344,2026-05-13,Shipped,Marketplace,Karachi
O000075,C0396,2026-01-20,Delivered,Mobile App,Lahore
O000076,C0600,2026-05-17,Delivered,Mobile App,Karachi
O000077,C0456,2026-02-12,Delivered,Website,Lahore
O000078,C0016,2026-05-03,Shipped,Website,Islamabad
O000079,C0054,2026-05-20,Delivered,Mobile App,Islamabad
O000080,C0001,2026-06-04,Cancelled,Mobile App,Lahore
O000081,C0238,2026-04-11,Shipped,Website,Karachi
O000082,C0211,2026-04-10,Delivered,Mobile App,Lahore
O000083,C0561,2026-06-14,Shipped,Website,Multan
O000084,C0220,2026-07-02,Cancelled,Mobile App,Lahore
O000085,C0019,2026-07-16,Delivered,Mobile App,Peshawar
O000086,C0531,2026-03-23,Delivered,Mobile App,Lahore
O000087,C0157,2026-04-14,Delivered,Website,Islamabad
O000088,C0548,2026-03-22,Delivered,Website,Lahore
O000089,C0465,2026-05-09,Delivered,Website,Islamabad
O000090,C0529,2026-01-31,Delivered,Mobile App,Multan
O000091,C0492,2026-04-15,Delivered,Marketplace,Lahore
O000092,C0086,2026-02-15,Delivered,Mobile App,Rawalpindi
O000093,C0376,2026-05-10,Delivered,Mobile App,Multan
O000094,C0248,2026-07-26,Delivered,Website,Rawalpindi
O000095,C0378,2026-08-28,Delivered,Website,Karachi
O000096,C0448,2026-04-19,Delivered,Marketplace,Karachi
O000097,C0301,2026-01-14,Delivered,Mobile App,Multan
O000098,C0188,2026-02-25,Delivered,Website,Rawalpindi
O000099,C0550,2026-01-26,Delivered,Mobile App,Multan
O000100,C0398,2026-07-04,Cancelled,Mobile App,Karachi
O000101,C0532,2026-08-28,Delivered,Website,Rawalpindi
O000102,C0143,2026-05-15,Delivered,Website,Peshawar
O000103,C0503,2026-02-12,Delivered,Mobile App,Peshawar
O000104,C0195,2026-01-06,Delivered,Website,Rawalpindi
O000105,C0277,2026-08-26,Delivered,Website,Karachi
O000106,C0517,2026-03-18,Delivered,Mobile App,Islamabad
O000107,C0213,2026-01-28,Delivered,Marketplace,Islamabad
O000108,C0151,2026-02-13,Delivered,Website,Karachi
O000109,C0550,2026-03-04,Delivered,Website,Karachi
O000110,C0579,2026-06-09,Delivered,Mobile App,Multan
O000111,C0187,2026-08-05,Delivered,Website,Karachi
O000112,C0184,2026-03-08,Returned,Marketplace,Lahore
O000113,C0137,2026-06-16,Delivered,Mobile App,Islamabad
O000114,C0015,2026-01-16,Cancelled,Website,Multan
O000115,C0332,2026-01-03,Delivered,Mobile App,Islamabad
O000116,C0153,2026-01-14,Delivered,Website,Karachi
O000117,C0510,2026-08-13,Delivered,Mobile App,Karachi
O000118,C0103,2026-05-22,Delivered,Marketplace,Karachi
O000119,C0382,2026-07-15,Delivered,Website,Karachi
O000120,C0305,2026-01-06,Shipped,Website,Peshawar
O000121,C0368,2026-01-06,Delivered,Marketplace,Lahore
O000122,C0068,2026-07-26,Delivered,Website,Karachi
O000123,C0280,2026-01-25,Delivered,Website,Peshawar
O000124,C0376,2026-02-07,Delivered,Website,Karachi
O000125,C0205,2026-05-07,Delivered,Website,Karachi
O000126,C0525,2026-05-28,Delivered,Mobile App,Lahore
O000127,C0318,2026-02-25,Delivered,Website,Karachi
O000128,C0218,2026-04-19,Delivered,Website,Karachi
O000129,C0019,2026-06-13,Delivered,Website,Multan
O000130,C0102,2026-04-18,Delivered,Mobile App,Peshawar
O000131,C0286,2026-04-03,Delivered,Marketplace,Rawalpindi
O000132,C0241,2026-01-18,Delivered,Mobile App,Islamabad
O000133,C0523,2026-04-20,Shipped,Mobile App,Karachi
O000134,C0472,2026-07-15,Returned,Mobile App,Peshawar
O000135,C0096,2026-06-02,Delivered,Website,Lahore
O000136,C0355,2026-08-06,Delivered,Website,Karachi
O000137,C0273,2026-01-31,Delivered,Website,Karachi
O000138,C0061,2026-01-03,Delivered,Website,Lahore
O000139,C0400,2026-05-14,Delivered,Marketplace,Karachi
O000140,C0323,2026-02-13,Delivered,Website,Karachi
O000141,C0053,2026-05-25,Delivered,Marketplace,Karachi
O000142,C0281,2026-08-08,Returned,Website,Lahore
O000143,C0440,2026-03-23,Delivered,Website,Karachi
O000144,C0197,2026-05-14,Returned,Website,Lahore
O000145,C0215,2026-06-15,Delivered,Website,Karachi
O000146,C0067,2026-02-06,Delivered,Website,Islamabad
O000147,C0123,2026-08-07,Delivered,Mobile App,Karachi
O000148,C0589,2026-02-19,Delivered,Mobile App,Lahore
O000149,C0373,2026-07-16,Delivered,Mobile App,Islamabad
O000150,C0106,2026-06-10,Delivered,Marketplace,Islamabad
O000151,C0290,2026-02-04,Delivered,Mobile App,Karachi
O000152,C0116,2026-06-26,Delivered,Marketplace,Lahore
O000153,C0266,2026-02-17,Delivered,Website,Peshawar
O000154,C0088,2026-05-26,Delivered,Website,Karachi
O000155,C0372,2026-08-22,Delivered,Website,Lahore
O000156,C0343,2026-08-20,Delivered,Mobile App,Lahore
O000157,C0381,2026-07-31,Delivered,Mobile App,Peshawar
O000158,C0267,2026-05-01,Delivered,Mobile App,Lahore
O000159,C0172,2026-05-16,Delivered,Marketplace,Multan
O000160,C0150,2026-03-14,Cancelled,Website,Islamabad
O000161,C0130,2026-08-12,Delivered,Mobile App,Lahore
O000162,C0258,2026-04-26,Delivered,Mobile App,Karachi
O000163,C0271,2026-07-07,Delivered,Mobile App,Islamabad
O000164,C0405,2026-03-29,Shipped,Website,Karachi
O000165,C0032,2026-06-29,Delivered,Website,Lahore
O000166,C0170,2026-02-24,Delivered,Website,Karachi
O000167,C0512,2026-06-28,Delivered,Mobile App,Islamabad
O000168,C0550,2026-01-12,Delivered,Website,Rawalpindi
O000169,C0559,2026-01-26,Cancelled,Website,Multan
O000170,C0184,2026-03-27,Delivered,Mobile App,Karachi
O000171,C0083,2026-04-28,Delivered,Mobile App,Multan
O000172,C0119,2026-06-22,Delivered,Marketplace,Peshawar
O000173,C0080,2026-03-29,Delivered,Mobile App,Peshawar
O000174,C0573,2026-01-05,Delivered,Mobile App,Rawalpindi
O000175,C0531,2026-03-21,Returned,Website,Karachi
O000176,C0487,2026-04-17,Returned,Mobile App,Peshawar
O000177,C0438,2026-05-13,Delivered,Website,Islamabad
O000178,C0206,2026-06-06,Delivered,Website,Rawalpindi
O000179,C0286,2026-03-02,Returned,Marketplace,Karachi
O000180,C0505,2026-05-29,Delivered,Mobile App,Karachi
O000181,C0489,2026-06-03,Delivered,Mobile App,Karachi
O000182,C0312,2026-07-08,Delivered,Mobile App,Lahore
O000183,C0503,2026-05-07,Delivered,Mobile App,Lahore
O000184,C0209,2026-07-16,Delivered,Website,Multan
O000185,C0249,2026-02-23,Returned,Website,Karachi
O000186,C0504,2026-06-22,Delivered,Website,Karachi
O000187,C0226,2026-01-12,Delivered,Website,Karachi
O000188,C0452,2026-01-25,Delivered,Website,Karachi
O000189,C0272,2026-07-30,Delivered,Mobile App,Lahore
O000190,C0179,2026-04-26,Delivered,Website,Rawalpindi
O000191,C0132,2026-05-31,Delivered,Mobile App,Multan
O000192,C0365,2026-05-27,Shipped,Marketplace,Karachi
O000193,C0288,2026-06-18,Delivered,Website,Karachi
O000194,C0222,2026-03-01,Delivered,Mobile App,Rawalpindi
O000195,C0446,2026-02-13,Delivered,Website,Karachi
O000196,C0001,2026-01-11,Delivered,Marketplace,Rawalpindi
O000197,C0056,2026-07-30,Delivered,Mobile App,Islamabad
O000198,C0578,2026-02-24,Cancelled,Website,Peshawar
O000199,C0399,2026-05-20,Delivered,Website,Karachi
O000200,C0330,2026-04-21,Delivered,Marketplace,Multan
O000201,C0009,2026-02-09,Delivered,Website,Multan
O000202,C0360,2026-04-11,Delivered,Mobile App,Karachi
O000203,C0261,2026-01-21,Delivered,Website,Lahore
O000204,C0360,2026-02-12,Delivered,Mobile App,Lahore
O000205,C0025,2026-02-03,Delivered,Website,Karachi
O000206,C0331,2026-07-20,Delivered,Website,Multan
O000207,C0347,2026-05-18,Delivered,Website,Karachi
O000208,C0175,2026-08-13,Delivered,Website,Karachi
O000209,C0033,2026-04-16,Delivered,Mobile App,Karachi
O000210,C0583,2026-02-18,Delivered,Mobile App,Islamabad
O000211,C0426,2026-05-28,Delivered,Website,Peshawar
O000212,C0374,2026-08-14,Delivered,Website,Islamabad
O000213,C0461,2026-05-10,Delivered,Website,Islamabad
O000214,C0403,2026-01-05,Delivered,Mobile App,Karachi
O000215,C0081,2026-03-15,Delivered,Mobile App,Rawalpindi
O000216,C0273,2026-08-13,Shipped,Marketplace,Lahore
O000217,C0534,2026-05-06,Delivered,Marketplace,Lahore
O000218,C0173,2026-08-20,Delivered,Website,Islamabad
O000219,C0584,2026-05-04,Returned,Website,Multan
O000220,C0039,2026-01-03,Delivered,Marketplace,Rawalpindi
O000221,C0199,2026-08-01,Delivered,Website,Islamabad
O000222,C0211,2026-07-05,Shipped,Website,Lahore
O000223,C0371,2026-06-23,Delivered,Website,Karachi
O000224,C0106,2026-08-24,Delivered,Mobile App,Lahore
O000225,C0138,2026-02-17,Delivered,Mobile App,Islamabad
O000226,C0398,2026-08-09,Shipped,Marketplace,Rawalpindi
O000227,C0171,2026-02-26,Shipped,Website,Islamabad
O000228,C0528,2026-08-24,Shipped,Website,Karachi
O000229,C0523,2026-02-16,Delivered,Website,Karachi
O000230,C0182,2026-05-14,Delivered,Mobile App,Karachi
O000231,C0336,2026-07-11,Cancelled,Website,Rawalpindi
O000232,C0200,2026-01-19,Delivered,Marketplace,Multan
O000233,C0207,2026-01-17,Delivered,Mobile App,Lahore
O000234,C0403,2026-07-26,Delivered,Mobile App,Islamabad
O000235,C0176,2026-01-15,Shipped,Mobile App,Rawalpindi
O000236,C0090,2026-05-30,Delivered,Website,Karachi
O000237,C0156,2026-08-16,Delivered,Mobile App,Karachi
O000238,C0558,2026-05-30,Cancelled,Website,Karachi
O000239,C0156,2026-04-27,Cancelled,Mobile App,Multan
O000240,C0219,2026-04-12,Returned,Mobile App,Karachi
O000241,C0378,2026-06-05,Delivered,Mobile App,Lahore
O000242,C0061,2026-05-19,Delivered,Website,Lahore
O000243,C0162,2026-05-02,Delivered,Marketplace,Islamabad
O000244,C0105,2026-02-07,Delivered,Marketplace,Karachi
O000245,C0555,2026-06-11,Shipped,Mobile App,Multan
O000246,C0560,2026-06-29,Delivered,Marketplace,Karachi
O000247,C0454,2026-06-22,Delivered,Mobile App,Multan
O000248,C0149,2026-01-19,Delivered,Website,Islamabad
O000249,C0370,2026-06-20,Delivered,Website,Lahore
O000250,C0398,2026-06-27,Shipped,Website,Rawalpindi
O000251,C0522,2026-02-14,Delivered,Mobile App,Lahore
O000252,C0094,2026-07-26,Delivered,Mobile App,Karachi
O000253,C0442,2026-05-08,Delivered,Website,Rawalpindi
O000254,C0117,2026-04-25,Delivered,Website,Islamabad
O000255,C0342,2026-06-25,Delivered,Mobile App,Lahore
O000256,C0528,2026-05-04,Cancelled,Mobile App,Rawalpindi
O000257,C0038,2026-05-13,Delivered,Marketplace,Islamabad
O000258,C0089,2026-03-17,Delivered,Website,Lahore
O000259,C0488,2026-08-14,Delivered,Mobile App,Karachi
O000260,C0012,2026-08-24,Delivered,Website,Karachi
O000261,C0412,2026-02-01,Delivered,Website,Islamabad
O000262,C0301,2026-06-28,Delivered,Mobile App,Karachi
O000263,C0208,2026-01-06,Delivered,Website,Karachi
O000264,C0518,2026-03-31,Delivered,Mobile App,Rawalpindi
O000265,C0510,2026-08-24,Shipped,Website,Karachi
O000266,C0196,2026-02-12,Cancelled,Website,Karachi
O000267,C0003,2026-04-02,Delivered,Mobile App,Peshawar
O000268,C0077,2026-02-23,Delivered,Website,Rawalpindi
O000269,C0065,2026-06-26,Delivered,Website,Rawalpindi
O000270,C0590,2026-04-23,Delivered,Website,Lahore
O000271,C0359,2026-05-25,Delivered,Website,Islamabad
O000272,C0407,2026-08-18,Delivered,Mobile App,Multan
O000273,C0139,2026-05-07,Delivered,Website,Karachi
O000274,C0511,2026-06-28,Cancelled,Mobile App,Karachi
O000275,C0434,2026-01-24,Shipped,Mobile App,Karachi
O000276,C0452,2026-02-22,Delivered,Mobile App,Multan
O000277,C0281,2026-08-19,Delivered,Mobile App,Karachi
O000278,C0419,2026-07-28,Delivered,Mobile App,Lahore
O000279,C0327,2026-06-09,Delivered,Marketplace,Lahore
O000280,C0231,2026-04-02,Delivered,Website,Multan
O000281,C0357,2026-02-18,Delivered,Mobile App,Karachi
O000282,C0195,2026-07-26,Delivered,Website,Lahore
O000283,C0572,2026-07-10,Delivered,Mobile App,Multan
O000284,C0431,2026-02-28,Delivered,Mobile App,Karachi
O000285,C0444,2026-05-24,Delivered,Website,Islamabad
O000286,C0431,2026-05-31,Delivered,Website,Karachi
O000287,C0270,2026-04-27,Delivered,Website,Karachi
O000288,C0571,2026-08-14,Delivered,Website,Karachi
O000289,C0125,2026-01-31,Delivered,Mobile App,Karachi
O000290,C0342,2026-03-04,Delivered,Website,Karachi
O000291,C0042,2026-01-24,Delivered,Mobile App,Peshawar
O000292,C0177,2026-06-18,Delivered,Marketplace,Lahore
O000293,C0345,2026-06-06,Delivered,Website,Lahore
O000294,C0294,2026-08-28,Delivered,Website,Rawalpindi
O000295,C0565,2026-05-12,Delivered,Website,Multan
O000296,C0369,2026-02-06,Delivered,Marketplace,Karachi
O000297,C0247,2026-04-20,Delivered,Website,Karachi
O000298,C0257,2026-01-22,Delivered,Website,Karachi
O000299,C0367,2026-06-13,Delivered,Marketplace,Peshawar
O000300,C0475,2026-06-13,Delivered,Mobile App,Peshawar
O000301,C0166,2026-07-28,Delivered,Website,Lahore
O000302,C0351,2026-03-24,Delivered,Marketplace,Karachi
O000303,C0345,2026-03-17,Delivered,Marketplace,Lahore
O000304,C0006,2026-01-18,Delivered,Mobile App,Islamabad
O000305,C0548,2026-04-11,Delivered,Website,Karachi
O000306,C0342,2026-04-26,Delivered,Mobile App,Karachi
O000307,C0146,2026-07-03,Delivered,Website,Karachi
O000308,C0381,2026-07-03,Delivered,Website,Rawalpindi
O000309,C0407,2026-02-04,Delivered,Website,Multan
O000310,C0550,2026-03-11,Delivered,Mobile App,Karachi
O000311,C0021,2026-05-05,Delivered,Mobile App,Multan
O000312,C0249,2026-03-23,Delivered,Marketplace,Lahore
O000313,C0109,2026-01-07,Delivered,Mobile App,Islamabad
O000314,C0345,2026-07-25,Delivered,Website,Peshawar
O000315,C0301,2026-06-27,Returned,Website,Lahore
O000316,C0285,2026-05-07,Delivered,Mobile App,Karachi
O000317,C0590,2026-03-19,Delivered,Website,Karachi
O000318,C0319,2026-07-24,Delivered,Website,Peshawar
O000319,C0247,2026-01-09,Delivered,Mobile App,Lahore
O000320,C0041,2026-04-19,Delivered,Website,Karachi
O000321,C0174,2026-07-14,Delivered,Website,Islamabad
O000322,C0539,2026-08-20,Delivered,Mobile App,Karachi
O000323,C0272,2026-03-03,Delivered,Marketplace,Karachi
O000324,C0547,2026-06-08,Delivered,Mobile App,Peshawar
O000325,C0320,2026-02-16,Delivered,Website,Lahore
O000326,C0329,2026-01-29,Delivered,Mobile App,Karachi
O000327,C0258,2026-03-27,Delivered,Marketplace,Lahore
O000328,C0334,2026-08-04,Delivered,Website,Multan
O000329,C0041,2026-06-17,Shipped,Mobile App,Karachi
O000330,C0035,2026-04-29,Delivered,Mobile App,Karachi
O000331,C0286,2026-03-10,Delivered,Mobile App,Lahore
O000332,C0359,2026-02-04,Cancelled,Website,Karachi
O000333,C0331,2026-03-07,Delivered,Marketplace,Karachi
O000334,C0258,2026-02-07,Delivered,Website,Karachi
O000335,C0177,2026-02-15,Returned,Website,Karachi
O000336,C0426,2026-06-17,Delivered,Website,Islamabad
O000337,C0363,2026-02-02,Delivered,Website,Karachi
O000338,C0029,2026-01-12,Delivered,Website,Lahore
O000339,C0272,2026-05-12,Delivered,Mobile App,Rawalpindi
O000340,C0427,2026-03-11,Delivered,Marketplace,Karachi
O000341,C0471,2026-04-21,Delivered,Website,Karachi
O000342,C0173,2026-02-03,Cancelled,Mobile App,Multan
O000343,C0555,2026-02-21,Delivered,Marketplace,Islamabad
O000344,C0392,2026-04-18,Delivered,Website,Islamabad
O000345,C0263,2026-06-17,Shipped,Mobile App,Lahore
O000346,C0377,2026-04-11,Delivered,Marketplace,Multan
O000347,C0523,2026-05-12,Delivered,Mobile App,Karachi
O000348,C0137,2026-05-07,Delivered,Mobile App,Karachi
O000349,C0091,2026-03-07,Delivered,Marketplace,Peshawar
O000350,C0265,2026-03-09,Shipped,Mobile App,Karachi
O000351,C0051,2026-04-14,Delivered,Website,Lahore
O000352,C0502,2026-01-08,Delivered,Website,Karachi
O000353,C0583,2026-06-16,Delivered,Mobile App,Karachi
O000354,C0364,2026-05-30,Delivered,Website,Islamabad
O000355,C0588,2026-03-16,Delivered,Website,Lahore
O000356,C0042,2026-04-01,Shipped,Website,Lahore
O000357,C0380,2026-03-21,Delivered,Mobile App,Karachi
O000358,C0266,2026-06-08,Delivered,Mobile App,Karachi
O000359,C0167,2026-07-04,Delivered,Website,Rawalpindi
O000360,C0188,2026-01-27,Delivered,Website,Karachi
O000361,C0328,2026-04-11,Delivered,Website,Islamabad
O000362,C0385,2026-01-04,Delivered,Website,Lahore
O000363,C0099,2026-04-20,Delivered,Mobile App,Karachi
O000364,C0369,2026-03-02,Delivered,Website,Karachi
O000365,C0556,2026-03-23,Delivered,Marketplace,Peshawar
O000366,C0007,2026-04-21,Delivered,Website,Lahore
O000367,C0528,2026-03-20,Delivered,Website,Karachi
O000368,C0365,2026-04-06,Delivered,Marketplace,Multan
O000369,C0206,2026-07-05,Delivered,Website,Karachi
O000370,C0441,2026-07-16,Delivered,Website,Peshawar
O000371,C0371,2026-01-02,Delivered,Website,Karachi
O000372,C0462,2026-04-02,Cancelled,Mobile App,Lahore
O000373,C0049,2026-07-25,Shipped,Website,Lahore
O000374,C0036,2026-05-09,Delivered,Mobile App,Karachi
O000375,C0386,2026-02-19,Delivered,Mobile App,Rawalpindi
O000376,C0183,2026-05-25,Delivered,Marketplace,Karachi
O000377,C0143,2026-02-05,Delivered,Mobile App,Lahore
O000378,C0253,2026-01-06,Returned,Mobile App,Peshawar
O000379,C0436,2026-06-03,Delivered,Mobile App,Islamabad
O000380,C0108,2026-05-06,Delivered,Website,Lahore
O000381,C0584,2026-07-03,Delivered,Mobile App,Karachi
O000382,C0253,2026-03-25,Delivered,Mobile App,Karachi
O000383,C0091,2026-07-27,Delivered,Website,Multan
O000384,C0043,2026-04-13,Delivered,Mobile App,Islamabad
O000385,C0515,2026-06-29,Delivered,Website,Islamabad
O000386,C0068,2026-01-25,Delivered,Mobile App,Lahore
O000387,C0252,2026-01-24,Delivered,Website,Lahore
O000388,C0402,2026-07-10,Delivered,Website,Karachi
O000389,C0308,2026-07-22,Delivered,Website,Karachi
O000390,C0158,2026-08-18,Delivered,Website,Lahore
O000391,C0065,2026-03-20,Delivered,Website,Karachi
O000392,C0427,2026-01-06,Delivered,Website,Karachi
O000393,C0295,2026-08-27,Delivered,Mobile App,Lahore
O000394,C0029,2026-05-27,Delivered,Website,Lahore
O000395,C0109,2026-03-02,Delivered,Marketplace,Lahore
O000396,C0338,2026-07-05,Delivered,Mobile App,Rawalpindi
O000397,C0102,2026-08-08,Delivered,Website,Islamabad
O000398,C0235,2026-03-11,Delivered,Website,Karachi
O000399,C0075,2026-07-07,Delivered,Website,Rawalpindi
O000400,C0479,2026-07-11,Cancelled,Website,Lahore
O000401,C0379,2026-05-02,Delivered,Mobile App,Lahore
O000402,C0471,2026-06-03,Delivered,Mobile App,Multan
O000403,C0032,2026-03-07,Delivered,Mobile App,Karachi
O000404,C0226,2026-08-14,Delivered,Website,Islamabad
O000405,C0161,2026-08-27,Delivered,Mobile App,Karachi
O000406,C0374,2026-08-27,Delivered,Website,Karachi
O000407,C0493,2026-06-29,Delivered,Mobile App,Lahore
O000408,C0137,2026-01-11,Delivered,Marketplace,Karachi
O000409,C0462,2026-03-31,Cancelled,Website,Karachi
O000410,C0349,2026-04-19,Delivered,Mobile App,Lahore
O000411,C0495,2026-08-22,Delivered,Mobile App,Karachi
O000412,C0049,2026-05-13,Delivered,Mobile App,Lahore
O000413,C0595,2026-05-11,Delivered,Website,Karachi
O000414,C0261,2026-02-05,Delivered,Mobile App,Lahore
O000415,C0169,2026-07-12,Delivered,Website,Lahore
O000416,C0110,2026-03-23,Delivered,Website,Lahore
O000417,C0591,2026-01-23,Delivered,Mobile App,Rawalpindi
O000418,C0531,2026-08-28,Returned,Website,Multan
O000419,C0079,2026-02-16,Shipped,Website,Karachi
O000420,C0267,2026-01-04,Delivered,Marketplace,Lahore
O000421,C0441,2026-01-19,Delivered,Website,Peshawar
O000422,C0355,2026-04-20,Delivered,Mobile App,Islamabad
O000423,C0114,2026-01-26,Returned,Mobile App,Multan
O000424,C0217,2026-07-24,Delivered,Website,Rawalpindi
O000425,C0221,2026-05-05,Delivered,Mobile App,Rawalpindi
O000426,C0174,2026-03-20,Delivered,Mobile App,Karachi
O000427,C0577,2026-01-01,Delivered,Mobile App,Karachi
O000428,C0122,2026-04-27,Delivered,Mobile App,Islamabad
O000429,C0424,2026-02-06,Delivered,Marketplace,Lahore
O000430,C0548,2026-08-26,Delivered,Marketplace,Rawalpindi
O000431,C0477,2026-03-12,Delivered,Website,Multan
O000432,C0480,2026-04-26,Delivered,Website,Karachi
O000433,C0096,2026-01-05,Delivered,Mobile App,Lahore
O000434,C0080,2026-02-01,Returned,Marketplace,Peshawar
O000435,C0470,2026-02-20,Delivered,Mobile App,Peshawar
O000436,C0449,2026-01-13,Delivered,Website,Peshawar
O000437,C0446,2026-06-26,Delivered,Marketplace,Islamabad
O000438,C0252,2026-08-18,Delivered,Website,Multan
O000439,C0315,2026-08-28,Cancelled,Website,Lahore
O000440,C0010,2026-03-06,Delivered,Mobile App,Karachi
O000441,C0175,2026-07-11,Returned,Website,Karachi
O000442,C0318,2026-05-03,Delivered,Mobile App,Lahore
O000443,C0076,2026-01-12,Delivered,Website,Peshawar
O000444,C0079,2026-01-23,Delivered,Mobile App,Lahore
O000445,C0028,2026-05-14,Delivered,Marketplace,Islamabad
O000446,C0126,2026-04-13,Delivered,Website,Lahore
O000447,C0596,2026-01-03,Cancelled,Mobile App,Rawalpindi
O000448,C0418,2026-08-15,Shipped,Mobile App,Karachi
O000449,C0569,2026-06-27,Delivered,Website,Lahore
O000450,C0155,2026-05-03,Cancelled,Mobile App,Karachi
O000451,C0360,2026-08-28,Shipped,Mobile App,Lahore
O000452,C0536,2026-08-24,Delivered,Website,Lahore
O000453,C0212,2026-08-25,Delivered,Marketplace,Islamabad
O000454,C0395,2026-03-04,Delivered,Website,Lahore
O000455,C0416,2026-08-03,Delivered,Website,Multan
O000456,C0500,2026-05-03,Delivered,Website,Multan
O000457,C0582,2026-06-26,Returned,Mobile App,Karachi
O000458,C0370,2026-07-28,Delivered,Marketplace,Karachi
O000459,C0350,2026-02-09,Delivered,Website,Karachi
O000460,C0522,2026-04-19,Delivered,Website,Karachi
O000461,C0411,2026-02-01,Delivered,Website,Karachi
O000462,C0218,2026-03-09,Delivered,Mobile App,Multan
O000463,C0379,2026-04-11,Delivered,Website,Multan
O000464,C0330,2026-07-27,Delivered,Website,Karachi
O000465,C0138,2026-07-29,Delivered,Website,Rawalpindi
O000466,C0310,2026-04-05,Delivered,Website,Peshawar
